XX,masbateno,tuwali_ifugao,yami,cebuano,ilocano,ivatan,kapampangan,pangasinense,tausug,yakan,bikol,english,hiligaynon,spanish,tagalog,waray
masbateno,1,0.384,0.384,0.656,0.52,0.5,0.48,0.508,0.492,0.432,0.72,0.128,0.74,0.2,0.592,0.704
tuwali_ifugao,0.384,1,0.26,0.364,0.432,0.34,0.424,0.396,0.42,0.344,0.388,0.14,0.372,0.132,0.344,0.396
yami,0.384,0.26,1,0.384,0.372,0.568,0.332,0.412,0.312,0.276,0.376,0.12,0.368,0.172,0.352,0.376
cebuano,0.656,0.364,0.384,1,0.456,0.432,0.456,0.46,0.452,0.384,0.632,0.136,0.74,0.176,0.592,0.636
ilocano,0.52,0.432,0.372,0.456,1,0.444,0.472,0.544,0.388,0.376,0.496,0.152,0.496,0.184,0.472,0.5
ivatan,0.5,0.34,0.568,0.432,0.444,1,0.376,0.476,0.332,0.3,0.484,0.16,0.452,0.224,0.384,0.46
kapampangan,0.48,0.424,0.332,0.456,0.472,0.376,1,0.52,0.492,0.424,0.484,0.148,0.46,0.184,0.528,0.444
pangasinense,0.508,0.396,0.412,0.46,0.544,0.476,0.52,1,0.42,0.356,0.508,0.208,0.496,0.208,0.488,0.504
tausug,0.492,0.42,0.312,0.452,0.388,0.332,0.492,0.42,1,0.508,0.464,0.104,0.46,0.148,0.468,0.5
yakan,0.432,0.344,0.276,0.384,0.376,0.3,0.424,0.356,0.508,1,0.424,0.168,0.4,0.188,0.412,0.384
bikol,0.72,0.388,0.376,0.632,0.496,0.484,0.484,0.508,0.464,0.424,1,0.148,0.636,0.196,0.6,0.64
english,0.128,0.14,0.12,0.136,0.152,0.16,0.148,0.208,0.104,0.168,0.148,1,0.14,0.244,0.148,0.164
hiligaynon,0.74,0.372,0.368,0.74,0.496,0.452,0.46,0.496,0.46,0.4,0.636,0.14,1,0.18,0.624,0.668
spanish,0.2,0.132,0.172,0.176,0.184,0.224,0.184,0.208,0.148,0.188,0.196,0.244,0.18,1,0.144,0.18
tagalog,0.592,0.344,0.352,0.592,0.472,0.384,0.528,0.488,0.468,0.412,0.6,0.148,0.624,0.144,1,0.54
waray,0.704,0.396,0.376,0.636,0.5,0.46,0.444,0.504,0.5,0.384,0.64,0.164,0.668,0.18,0.54,1
