Book|Chapter #|Verse #|Verse
Mateo|1|1|Iyo ini an mga ginikanan ni Jesu-Cristo, na gikan ki David, na gikan ki Abraham. 
Mateo|1|2|Si Abraham ama ni Isaac, si Isaac ama ni Jacob, si Jacob ama ni Juda saka kan mga tugang niya; 
Mateo|1|3|si Juda ama ni Fares asin ni Zera (si Tamar an saindang ina), si Fares ama ni Esrom, si Esrom ama ni Aram; 
Mateo|1|4|si Aram ama ni Aminadab, si Aminadab ama ni Naason, si Naason ama ni Salmon; 
Mateo|1|5|si Salmon ama ni Boaz (si Rahab an saiyang ina), si Boaz ama ni Obed (si Ruth an saiyang ina), si Obed ama ni Jesse; 
Mateo|1|6|si Jesse iyo an ama ni Hadeng David.Si David ama ni Solomon (an saiyang ina dating agom ni Urias); 
Mateo|1|7|si Solomon ama ni Roboam, si Roboam ama ni Abias, si Abias ama ni Asa; 
Mateo|1|8|si Asa ama ni Josafat, si Josafat ama ni Joram, si Joram ama ni Uzias; 
Mateo|1|9|si Uzias ama ni Jotam, si Jotam ama ni Acaz, si Acaz ama ni Ezekias; 
Mateo|1|10|si Ezekias ama ni Manases, si Manases ama ni Amon, si Amon ama ni Josias; 
Mateo|1|11|si Josias ama ni Jeconias saka kan mga tugang niya, kan panahon na madestyero an mga Israelita sa Babilonia. 
Mateo|1|12|Kan nakadestyero na an mga Israelita sa Babilonia, iyo ini an mga ginikanan: si Jeconias ama ni Sealtiel, si Sealtiel ama ni Zorobabel; 
Mateo|1|13|si Zorobabel ama ni Abiud, si Abiud ama ni Eliakim, si Eliakim ama ni Azor; 
Mateo|1|14|si Azor ama ni Zadok, si Zadok ama ni Akim, si Akim ama ni Eliud; 
Mateo|1|15|si Eliud ama ni Eleazar, si Eleazar ama ni Matan, si Matan ama ni Jacob; 
Mateo|1|16|si Jacob ama ni Jose, na agom ni Maria, na ina ni Jesus, na inaapod Cristo. 
Mateo|1|17|Kaya, may katorseng ginikanan poon ki Abraham sagkod ki David; katorseng ginikanan naman poon ki David sagkod sa panahon na an mga Israelita nadestyero sa Babilonia, asin katorseng ginikanan naman poon kaiyan sagkod na mamundag an Cristo. 
Mateo|1|18|Siring kaini an pagkamundag ni Jesu-Cristo. Si Maria na saiyang ina ikinasal ki Jose, alagad bago sinda kasalon, nangingidam na si Maria. An saiyang ipinapangidam gikan sa Espiritu Santo. 
Mateo|1|19|Si Jose sarong matanos na lalaki asin habo niyang masopgan si Maria; kaya nag-isip siyang suhayan ini sa hilom. 
Mateo|1|20|Mantang iniisip ini ni Jose, nagpahiling saiya sa pangatorogan an sarong anghel nin Kagurangnan na nagsabi, "Jose, aki ni David, dai ka magalang-alang akoon si Maria, huli ta an ipinapangidam niya gikan sa Espiritu Santo. 
Mateo|1|21|Mangangaki siya nin lalaki asin ngangaranan mo siyang Jesus, huli ta ililigtas niya an saiyang banwaan sa saindang mga kasalan." 
Mateo|1|22|Nangyari an gabos na ini tanganing maotob an sinabi nin Kagurangnan sa paagi kan propeta, 
Mateo|1|23|"Mangingidam an sarong birhen asin mangangaki nin lalaki na aapodon Emmanuel" (na an boot sabihon, "an Dios nasa sato"). 
Mateo|1|24|Pagmata ni Jose, sinunod niya an pagboot kan anghel nin Kagurangnan; pinakasalan niya si Maria. 
Mateo|1|25|Alagad dai nagdorog si Jose ki Maria sagkod na ikapangaki kaini an sarong aking lalaki na nginaranan niyang Jesus.
Mateo|2|1|Namundag si Jesus sa Betlehem nin Judea, kan si Herodes an hade. Dai nahaloy, nag-abot sa Jerusalem an mga mago hale sa sirangan. 
Mateo|2|2|Naghapot sinda, "Haen an omboy na namundag na magigin hade kan mga Judio? Nahiling mi an saiyang bitoon sa sirangan kaya nagdigdi kami nganing sambahon siya." 
Mateo|2|3|Napurisaw na gayo si Hadeng Herodes kan maaraman niya ini, siring man an mga taga Jerusalem. 
Mateo|2|4|Tinipon niya an gabos na poon na padi asin mga paratukdo kan katogonan dangan hinapot sinda kun saen mamumundag an Cristo. 
Mateo|2|5|"Sa Betlehem nin Judea," an simbag ninda, "siring sa sinurat kan propeta: 6'Ika, Betlehem, sa daga nin Juda,bakong ika an pinakasadit sa mga nangengenot na syudad nin Juda;huli ta saimo magikan an sarong liderna iyo an masakop kan sakong banwaan na Israel.'" 
Mateo|2|7|Hilom na ipinaapod ni Herodes an mga mago nganing aramon sainda kun kasuarin nagtunga an bitoon. 
Mateo|2|8|Pakatapos, pinaduman niya sinda sa Betlehem saka tinugon, "Lakaw na kamo asin hanapon nindo an omboy; kun makua nindo siya, paaramon nindo ako tanganing magduman man ako asin magsamba saiya." 
Mateo|2|9-10| Kaya naghale sinda. Mantang naglalakaw sinda, nahiling ninda giraray an bitoon na nahiling ninda sa sirangan. Dai masabi an saindang kaogmahan kan mahiling ninda an bitoon! Pinangenotan sinda kaini sagkod na nag-ontok sa tangod kan lugar na namumugtakan kan omboy. 
Mateo|2|11|Paglaog ninda sa harong, nahiling ninda an omboy asin si Maria na saiyang ina. Nagluhod sinda saka nagsamba sa omboy. Dangan idinolot ninda saiya an mga dara nindang regalong bulawan, insenso, asin mira. 
Mateo|2|12|Pinatanidan sinda nin Dios sa pangatorogan na dai na magbalik ki Herodes. Kaya ibang dalan an saindang inagihan pagpuli. 
Mateo|2|13|Pakahale kan mga mago, an anghel nin Kagurangnan nagpahiling ki Jose sa pangatorogan asin nagsabi, "Magbangon ka; idulag mo sa Egipto an mag-ina. Dai ka maghale duman sagkod na sabihan taka, huli ta hahanapon ni Herodes an aki tanganing gadanon." 
Mateo|2|14|Kaya nagbangon si Jose asin kan banggi man sanang iyan, idinulag niya an mag-ina pasiring sa Egipto. 
Mateo|2|15|Duman sinda nag-erok sagkod na nagadan si Herodes. Nangyari ini tanganing maotob an itinaram nin Kagurangnan sa paagi kan propeta, "Inapod ko an sakong Aki hale sa Egipto." 
Mateo|2|16|Naanggot na gayo si Herodes kan maaraman niya na nadaya siya kan mga mago na taga sirangan. Kaya ipinagadan niya an gabos na lalaki sa Betlehem sagkod sa mga kataed na lugar, mga lalaki na an edad duwang taon paibaba, sosog sa naaraman niya sa mga mago manongod kan oras nin pagtunga kan bitoon. 
Mateo|2|17|Sa pangyayaring ini naotob an sinabi ni Propeta Jeremias: 
Mateo|2|18|"Nadangog sa Rama an sarong tingog,pagtangis asin pag-agrangay na makosog.Pinagtangisan ni Rachel an mga aki niya;habong magparanga, huli ta gadan na sinda." 
Mateo|2|19|Kan gadan na si Herodes, nagpahiling ki Jose sa pangatorogan duman sa Egipto an anghel nin Kagurangnan, 
Mateo|2|20|asin nagsabi, "Magbangon ka, magbalik na kamo sa Israel, huli ta gadan na an mga naghomang gumadan sa aki." 
Mateo|2|21|Kaya ipinag-iba ni Jose an mag-ina papuli sa daga nin Israel. 
Mateo|2|22|Alagad natakot si Jose na magbalik sa Judea kan mabaretaan niya na si Arkelao an nakasalihid na hade sa saiyang ama na si Herodes. Huli ta pinatanidan si Jose sa pangatorogan, nagdagos siya sa daga nin Galilea. 
Mateo|2|23|Nag-erok siya sa banwa na inaapod Nazaret. Nangyari ini tanganing maotob an sinabi kan mga propeta, "Aapodon siyang Nazareno."
Mateo|3|1|Kan panahon na iyan, nag-abot si Juan Bautista asin nagpoon paghulit duman sa kalangtadan nin Judea. 
Mateo|3|2|"Magbakle na kamo," an sabi niya, "huli ta uya na an Kahadean nin langit!" 
Mateo|3|3|Si Juan an sinabi ni Propeta Isaias kan ini magtaram,"Igwang nagkukurahaw sa kalangtadan,'Andama an dalan para sa Kagurangnan;tanosa an dalan na saiyang lalakawan!'" 
Mateo|3|4|An gubing ni Juan gibo sa mga buhok nin kamelyo, may hagkos siyang anit. An kakanon niya doron asin dugos. 
Mateo|3|5|Nagduruman saiya an mga taga Jerusalem, mga taga Judea, sagkod an mga nag-eerok sa mag-ibong kan Salog nin Jordan. 
Mateo|3|6|Itinuga ninda an saindang mga kasalan, dangan binunyagan sinda ni Juan duman sa Salog nin Jordan. 
Mateo|3|7|Kan mahiling ni Juan na dakul na Fariseo asin Saduceo an nag-abot tanganing magpabunyag, sinabihan niya sinda, "Mga rimoranon! Siisay an nagsabi saindo na makakadulag kamo sa maabot na padusa nin Dios? 
Mateo|3|8|Ipahiling nindo sa gibo na kamo nagbakle na. 
Mateo|3|9|Dai kamo maghona na makakaligtas kamo sa padusa huli ta ama nindo si Abraham. Sinasabihan ko kamo, na sa mga gapong ini an Dios makakagibo nin mga aki para ki Abraham. 
Mateo|3|10|Dawa ngunyan, andam na an patok sa pagputol kan gamot kan mga kahoy; an lambang kahoy na dai nagtatao nin marahay na bunga papalodon saka isusugba sa kalayo. 
Mateo|3|11|Binubunyagan ko kamo sa tubig sa pagpahiling na kamo nagbakle na, alagad an maabot sunod sako mabunyag saindo sa Espiritu Santo asin sa kalayo. Mas mapangyari siya ki sa sako; asin dai ako maninigong magbitbit kan saiyang sandalyas. 
Mateo|3|12|May dara siyang saligsigan nganing saligsigon an gabos na inani. An paroy titiponon niya sa saiyang harong-harong, alagad an ata susuloon niya sa kalayong dai nasisigbo." 
Mateo|3|13|Kan oras na idto, nagduman si Jesus ki Juan sa Salog nin Jordan hale sa Galilea tanganing magpabunyag. 
Mateo|3|14|Alagad hiningowa ni Juan na magbago nin isip si Jesus, kaya nagsabi siya, "Ako an nangangaipong bunyagan mo, alagad ika pa logod an mapabunyag sako?" 
Mateo|3|15|"Bayaan mong mangyari ini ngunyan, huli ta sa paaging ini maootob ta an hinahagad nin Dios," an simbag ni Jesus. Kaya nag-oyon si Juan. 
Mateo|3|16|Kan mabunyagan na si Jesus, naghawas siya tolos sa tubig, asin uya, nabuksan an kalangitan, dangan nahiling niya an Espiritu nin Dios na naghilig arog sa salampati asin nagtugdon saiya. 
Mateo|3|17|Dangan may tingog hale sa langit na nagsabi, "Ini an namomotan kong Aki na sakong ikinakaogma."
Mateo|4|1|Pakatapos, dinara si Jesus kan Espiritu Santo duman sa kalangtadan tanganing pagsugotan kan Demonyo. 
Mateo|4|2|Nag-ayuno siya sa laog nin kwarentang aldaw saka kwarentang banggi, asin nagutom siya. 
Mateo|4|3|Dinolok siya kan Demonyo na nagsabi, "Kun ika an Aki nin Dios, pagbotan mo na magin tinapay an mga gapong ini." 
Mateo|4|4|Alagad nagsimbag si Jesus, "Nasusurat, 'Bakong sa tinapay sana nabubuhay an tawo, kundi sa lambang tataramon na minagikan sa ngoso nin Dios.'" 
Mateo|4|5|Dangan dinara si Jesus kan Demonyo sa Jerusalem an Banal na Syudad asin pinatindog sa atop kan Templo, 
Mateo|4|6|saka sinabihan, "Kun ika an Aki nin Dios, lumampaw ka, huli ta nasusurat,'Pagbobotan nin Dios an saiyang mga anghel tanganing atamanon ka;sasalohon ka ninda kan saindang mga kamot,ta tibaad tumama an saimong bitis sa kagapoan.'" 
Mateo|4|7|Nagsimbag si Jesus, "Nasusurat man, 'Dai mo pagsugotan an Kagurangnan mong Dios.'" 
Mateo|4|8|Dangan dinara si Jesus kan Demonyo sa sarong halangkawon na bukid. Ipinatanaw saiya an gabos na kahadean sa kinaban asin an saindang kamurawayan. 
Mateo|4|9|Nagsabi an Demonyo, "Iyan gabos itatao ko saimo, kun lumuhod ka asin magsamba sako." 
Mateo|4|10|Sinimbag siya ni Jesus, "Humale ka, Satanas! Huli ta nasusurat, 'Sambahon mo an Kagurangnan mong Dios, asin siya sana an saimong paglingkodan.'" 
Mateo|4|11|Pakatapos, binayaan siya kan Demonyo; dangan nagdatong an mga anghel asin naglingkod saiya. 
Mateo|4|12|Kan madangog ni Jesus na si Juan nabibilanggo, nagduman siya sa Galilea. 
Mateo|4|13|Naghale siya sa Nazaret asin nag-erok sa Capernaum. An banwaan na ini nasa tampi kan Danaw nin Galilea, sa teritoryo nin Zabulon asin Neftali. 
Mateo|4|14|Huli kaini naotob an sinabi ni Propeta Isaias: 
Mateo|4|15|"Daga nin Zabulon asin daga nin Neftali,inaagihan pasiring sa dagat, sa ibong kan Jordan,Galilea kan mga pagano! 
Mateo|4|16|An mga nag-eerok sa kadiklomanmakakahiling nin dakulang ilaw!An liwanag masirang sa mga nag-eeroksa madiklom na daga nin kagadanan!" 
Mateo|4|17|Poon kaidto naghulit na si Jesus. Olay niya, "Magbakle na kamo huli ta harani na an Kahadean nin langit!" 
Mateo|4|18|Kan naglalakaw si Jesus sa baybayon kan Danaw nin Galilea, nahiling niya an magtugang na parasira, si Simon na inaapod Pedro asin si Andres. Nag-iitsa sinda kan hikot sa tubig. 
Mateo|4|19|Sinabihan niya sinda, "Sumunod kamo sako, asin gigibohon ko kamong parasira nin mga tawo." 
Mateo|4|20|Binayaan ninda tolos an saindang mga hikot asin nagsunod ki Jesus. 
Mateo|4|21|Sa oroenotan, nahiling niya an magtugang na Santiago asin Juan, mga aki ni Zebedeo. Nasa sakayan sinda kaiba an saindang ama, nagpapakarahay kan saindang mga hikot. Inapod man sinda ni Jesus. 
Mateo|4|22|Binayaan ninda tolos an sakayan asin an saindang ama, dangan nagsunod ki Jesus. 
Mateo|4|23|Naglibot si Jesus sa bilog na Galilea. Nagtukdo siya sa mga sinagoga asin naghulit kan Marahay na Bareta dapit kan Kahadean nin Dios. Binolong niya an gabos na helang asin kamatean kan mga tawo. 
Mateo|4|24|Nabantog siya sagkod sa Siria, kaya ipinabolong ninda saiya an gabos na may helang asin may kamatean: mga may demonyo, mga epileptiko asin mga paralitiko. Pinaomayan niya sinda gabos. 
Mateo|4|25|Sinunod siya kan mga tawo: mga taga Galilea, Decapolis, Jerusalem, Judea sagkod kan mga hale sa ibong kan Jordan.
Mateo|5|1|Kan mahiling ni Jesus an kadakul na tawo, tuminukad siya sa sarong bulod. Pakatukaw niya, nagdorolok saiya an mga disipulo niya. 
Mateo|5|2|Dangan tinukdoan niya sinda kaini: 
Mateo|5|3|"Paladan an mga dukha sa espiritu,huli ta sainda an Kahadean nin langit! 
Mateo|5|4|"Paladan an mga nagmomondo,huli ta sinda rarangahon! 
Mateo|5|5|"Paladan an mga mahuyo,huli ta sinda an magmamana kan daga! 
Mateo|5|6|"Paladan an mga nagugutom asin napapaha sa katanosan,huli ta sinda pakababasogon! 
Mateo|5|7|"Paladan an mga maheherakon,huli ta sinda maheherakan! 
Mateo|5|8|"Paladan an mga malinig an puso,huli ta mahihiling ninda an Dios! 
Mateo|5|9|"Paladan an mga parapatoninonghuli ta aapodon sindang mga aki nin Dios! 
Mateo|5|10|"Paladan an mga pinapasakitan dahel sa katanosan,huli ta sainda an Kahadean nin langit! 
Mateo|5|11|"Paladan kamo kun minumuda kamo, pinapasakitan asin pinapakaraot kan mga tawo dahel sako. 
Mateo|5|12|Arog man kaini an ginibo sa mga propetang naenot saindo. Orog na mag-ogma kamo, ta dakula an balos saindo sa langit. 
Mateo|5|13|"Kamo an asin kan kinaban. Kun mawaran nin asgad an asin, paano pang mapaasgad iyan? Dai na iyan nin pakinabang, kaya inaapon na sana dangan binabatayan nin mga tawo. 
Mateo|5|14|"Kamo an ilaw kan kinaban. Dai nanggad matatago an sarong syudad na nasa ibabaw nin bulod. 
Mateo|5|15|Mayong minasulo nin ilaw dangan tinatahoban iyan; kundi ibinubugtak sa talagang bugtakan nganing maliwanagan an gabos na nasa harong. 
Mateo|5|16|Dapat arog kamo kaiyan. Paliwanagon nindo an saindong ilaw sa gabos na tawo, tanganing mahiling ninda an mga marahay nindong gibo; huli kaiyan oomawon ninda an saindong Ama na nasa langit. 
Mateo|5|17|"Dai kamo maghona na nagdigdi ako tanganing halean nin halaga an Katogonan ni Moises o an katukdoan kan mga propeta; nagdigdi ako tanganing maotob iyan. 
Mateo|5|18|Sa katotoohan sinasabihan ko kamo, mawara man an langit asin an daga, alagad dai mawawaraan nin halaga maski an pinakasadit na detalye o punto kan Katogonan sagkod na maotob an gabos. 
