Book|Chapter #|Verse #|Verse
Mateo|1|1|Mao kini ang talaan sa kagikan ni Jesu-Cristo, kaliwat ni Haring David nga kaliwat ni Abraham. 
Mateo|1|2-6|aGikan kang Abraham ngadto kang Haring David mao ang mosunod nga mga kaliwatan:Abraham, amahan ni IsaacIsaac, amahan ni JacobJacob, amahan ni Juda ug sa iyang mga igsoonJuda, amahan ni Perez ug ni Zera (si Tamar ang ilang inahan)Perez, amahan ni HezronHezron, amahan ni AramAram, amahan ni AminadabAminadab, amahan ni NaasonNaason, amahan ni SalmonSalmon, amahan ni Boas (si Rahab ang iyang inahan)Boas, amahan ni Obed (si Ruth ang iyang inahan)Obed, amahan ni JesseJesse, amahan ni David nga hariHaring David 
Mateo|1|6b-11| Gikan kang Hari David hangtod sa panahon sa pagkabihag sa mga Israelita ngadto sa Babilonia mao ang mosunod:Hari David, amahan ni Solomon (ang iyang inahan asawa kanhi ni Urias)Solomon, amahan ni RehoboamRehoboam, amahan ni AbiasAbias, amahan ni AsaAsa, amahan ni JosafatJosafat, amahan ni JoramJoram, amahan ni UziasUzias, amahan ni JotamJotam, amahan ni AhazAhaz, amahan ni EzequiasEzequias, amahan ni ManasesManases, amahan ni AmonAmon, amahan ni JosiasJosias, amahan ni Joaquin ug sa iyang mga igsoon. 
Mateo|1|12-16| Gikan sa pagkabihag sa mga Israelita ngadto sa Babilonia hangtod nga natawo ang Mesiyas mao ang mosunod:Jeconias, amahan ni SalatielSalatiel, amahan ni ZerubabelZerubabel, amahan ni AbiudAbiud, amahan ni EliakimEliakim, amahan ni HazorAsor, amahan ni SadokSadok, amahan ni AquimAquim, amahan ni EliudEliud, amahan ni EleazarEleazar, amahan ni MatanMatan, amahan ni JacobJacob, amahan ni JoseJose (bana ni Maria nga maoy inahan ni Jesus nga giilang Mesiyas). 
Mateo|1|17|Busa may 14 ka kaliwatan gikan kang Abraham hangtod ni David ug 14 ka kaliwatan gikan ni David hangtod sa panahon sa pagkabihag sa mga Israelita ngadto sa Babilonia ug laing 14 ka kaliwatan gikan sa pagkabihag hangtod nga natawo ang Mesiyas. 
Mateo|1|18|Mao kini ang kaagi sa pagkatawo ni Jesu-Cristo. Ang iyang inahan nga si Maria niadtong panahona gitakda nga maminyo kang Jose. Apan sa wala pa sila magtipon nakamatikod si Maria nga nagsabak siya pinaagi sa gahom sa Espiritu Santo. 
Mateo|1|19|Si Jose nga iyang pamanhonon tawo nga matarong ug dili buot nga pakaulawan niya si Maria atubangan sa mga tawo. Busa nagplano siya sa pagpakigbulag kaniya sa hilom. 
Mateo|1|20|Samtang naghunahuna siya niini, mipakita kaniya ang usa ka anghel sa Ginoo pinaagi sa damgo ug miingon, "Jose, kaliwat ni David, ayaw kahadlok sa pagpangasawa kang Maria kay siya nagsabak pinaagi sa gahom sa Espiritu Santo. 
Mateo|1|21|Manganak siyag batang lalaki ug nganli siyag Jesus kay luwason niya ang iyang katawhan gikan sa ilang kasal-anan." 
Mateo|1|22|Ug kining tanan nahitabo aron matuman ang giingon sa Ginoo pinaagi sa propeta, 
Mateo|1|23|"Ang usa ka putli nga batan-ong babaye magsabak unya manganak ug batang lalaki. Nganlan siyag Immanuel" (nga sa ato pa, "Ang Dios ania uban kanato"). 
Mateo|1|24|Busa sa pagmata ni Jose gituman niya ang gisugo sa anghel ug gipangasawa niya si Maria. 
Mateo|1|25|Apan wala niya hilabti si Maria hangtod nga siya nanganak. Unya ginganlan ni Jose ang bata ug Jesus.
Mateo|2|1|Natawo si Jesus sa lungsod sa Betlehem, sa lalawigan sa Judea sa panahon nga naghari si Herodes. Unya may mga tawo nga may kaalam bahin sa mga bituon nga nangabot sa Jerusalem gikan sa sidlakan 
Mateo|2|2|ug nangutana: "Hain man ang bata nga natawo nga maoy mahimong hari sa mga Judio? Nakita namo ang bituon nga nagpahibalo sa iyang pagkatawo sa pagsubang niini didto sa sidlakan ug mianhi kami aron pagsimba kaniya." 
Mateo|2|3|Sa pagkahibalo ni Hari Herodes niini, wala siya mahimutang ingon man ang tibuok Jerusalem. 
Mateo|2|4|Gitigom niya ang kadagkoan sa mga pari ug ang mga magtutudlo sa Balaod ug gipangutana niya sila, "Asa man matawo ang Mesiyas?" 
Mateo|2|5|Sila mitubag, "Sa lungsod sa Betlehem, sa Judea. Mao kini ang giingon sa Dios nga gisulat sa propeta: 6'Ikaw, Betlehem, sa yuta sa Juda,dili ka labing ubos sa mga dagkong lungsod sa Juda;kay maggikan kanimo ang usa ka pangulonga maoy magmando sa akong katawhan, ang Israel.' " 
Mateo|2|7|Busa gipatawag ni Herodes sa hilom ang mga maalamong bisita nga gikan sa sidlakan. Iyang nasayran gikan kanila ang untop nga takna sa pagsubang sa bituon. 
Mateo|2|8|Unya gipaadto niya sila sa Betlehem nga nag-ingon, "Lakaw kamo ug pangitaa pag-ayo ang bata ug kon makaplagan na ninyo siya, pahibaloa ako aron moadto ug mosimba usab kaniya." 
