Book|Chapter #|Verse #|Verse
Matthew|1|1|An account of the genealogy of Jesus the Messiah, the son of David, the son of Abraham. 
Matthew|1|2|Abraham was the father of Isaac, and Isaac the father of Jacob, and Jacob the father of Judah and his brothers, 
Matthew|1|3|and Judah the father of Perez and Zerah by Tamar, and Perez the father of Hezron, and Hezron the father of Aram, 
Matthew|1|4|and Aram the father of Aminadab, and Aminadab the father of Nahshon, and Nahshon the father of Salmon, 
Matthew|1|5|and Salmon the father of Boaz by Rahab, and Boaz the father of Obed by Ruth, and Obed the father of Jesse, 
Matthew|1|6|and Jesse the father of King David.And David was the father of Solomon by the wife of Uriah, 
Matthew|1|7|and Solomon the father of Rehoboam, and Rehoboam the father of Abijah, and Abijah the father of Asaph, 
Matthew|1|8|and Asaph the father of Jehoshaphat, and Jehoshaphat the father of Joram, and Joram the father of Uzziah, 
Matthew|1|9|and Uzziah the father of Jotham, and Jotham the father of Ahaz, and Ahaz the father of Hezekiah, 
Matthew|1|10|and Hezekiah the father of Manasseh, and Manasseh the father of Amos, and Amos the father of Josiah, 
Matthew|1|11|and Josiah the father of Jechoniah and his brothers, at the time of the deportation to Babylon. 
Matthew|1|12|And after the deportation to Babylon: Jechoniah was the father of Salathiel, and Salathiel the father of Zerubbabel, 
Matthew|1|13|and Zerubbabel the father of Abiud, and Abiud the father of Eliakim, and Eliakim the father of Azor, 
Matthew|1|14|and Azor the father of Zadok, and Zadok the father of Achim, and Achim the father of Eliud, 
Matthew|1|15|and Eliud the father of Eleazar, and Eleazar the father of Matthan, and Matthan the father of Jacob, 
Matthew|1|16|and Jacob the father of Joseph the husband of Mary, who bore Jesus, who is called the Messiah. 
Matthew|1|17|So all the generations from Abraham to David are fourteen generations; and from David to the deportation to Babylon, fourteen generations; and from the deportation to Babylon to the Messiah, fourteen generations. 
Matthew|1|18|Now the birth of Jesus the Messiah took place in this way. When his mother Mary had been engaged to Joseph, but before they lived together, she was found to be pregnant from the Holy Spirit. 
Matthew|1|19|Her husband Joseph, being a righteous man and unwilling to expose her to public disgrace, planned to divorce her quietly. 
Matthew|1|20|But just when he had resolved to do this, an angel of the Lord appeared to him in a dream and said, "Joseph, son of David, do not be afraid to take Mary as your wife, for the child conceived in her is from the Holy Spirit. 
Matthew|1|21|She will bear a son, and you are to name him Jesus, for he will save his people from their sins." 
Matthew|1|22|All this took place to fulfill what had been spoken by the Lord through the prophet:
Matthew|1|23|"Look, the virgin shall become pregnant and give birth to a son,and they shall name him Emmanuel,"which means, "God is with us." 
Matthew|1|24|When Joseph awoke from sleep, he did as the angel of the Lord commanded him; he took her as his wife 
Matthew|1|25|but had no marital relations with her until she had given birth to a son, and he named him Jesus.
Matthew|2|1|In the time of King Herod, after Jesus was born in Bethlehem of Judea, magi from the east came to Jerusalem, 
Matthew|2|2|asking, "Where is the child who has been born king of the Jews? For we observed his star in the east and have come to pay him homage." 
Matthew|2|3|When King Herod heard this, he was frightened, and all Jerusalem with him, 
Matthew|2|4|and calling together all the chief priests and scribes of the people, he inquired of them where the Messiah was to be born. 
Matthew|2|5|They told him, "In Bethlehem of Judea, for so it has been written by the prophet:
Matthew|2|6|'And you, Bethlehem, in the land of Judah,are by no means least among the rulers of Judah,for from you shall come a rulerwho is to shepherd my people Israel.' " 
Matthew|2|7|Then Herod secretly called for the magi and learned from them the exact time when the star had appeared. 
Matthew|2|8|Then he sent them to Bethlehem, saying, "Go and search diligently for the child, and when you have found him, bring me word so that I may also go and pay him homage." 
Matthew|2|9|When they had heard the king, they set out, and there, ahead of them, went the star that they had seen in the east, until it stopped over the place where the child was. 
Matthew|2|10|When they saw that the star had stopped, they were overwhelmed with joy. 
Matthew|2|11|On entering the house, they saw the child with Mary his mother, and they knelt down and paid him homage. Then, opening their treasure chests, they offered him gifts of gold, frankincense, and myrrh. 
Matthew|2|12|And having been warned in a dream not to return to Herod, they left for their own country by another road. 
Matthew|2|13|Now after they had left, an angel of the Lord appeared to Joseph in a dream and said, "Get up, take the child and his mother, and flee to Egypt, and remain there until I tell you, for Herod is about to search for the child, to destroy him." 
