Book|Chapter #|Verse #|Verse
Mateo|1|1|Amo ini ang lista sang mga katigulangan ni Jesu-Cristo nga kaliwat ni David nga kaliwat man ni Abraham. 
Mateo|1|2|Si Abraham amay ni Isaac, si Isaac amay ni Jacob, si Jacob amay ni Juda kag sang iya mga utod nga lalaki. 
Mateo|1|3|Si Juda amay ni Fares kag ni Zera nga ang ila sini iloy si Tamar. Si Fares amay ni Esrom, kag si Esrom amay ni Aram. 
Mateo|1|4|Si Aram amay ni Aminadab, si Aminadab amay ni Naason, si Naason amay ni Salmon, 
Mateo|1|5|si Salmon amay ni Boaz kag ang iya sini iloy si Rahab. Si Boaz amay ni Obed kag ang iya sini iloy si Ruth. Si Obed amay ni Jesse, 
Mateo|1|6|kag si Jesse amay ni Haring David.Si David amay ni Solomon kag ang iya sini iloy amo ang asawa anay ni Urias, 
Mateo|1|7|si Solomon amay ni Rehoboam, si Rehoboam amay ni Abias, si Abias amay ni Asa, 
Mateo|1|8|si Asa amay ni Josafat, si Josafat amay ni Joram, si Joram amay ni Uzias, 
Mateo|1|9|si Uzias amay ni Joatam, si Joatam amay ni Acaz, kag si Acaz amay ni Ezequias. 
Mateo|1|10|Si Ezequias amay ni Manases, si Manases amay ni Amon, si Amon amay ni Josias, 
Mateo|1|11|si Josias amay ni Jeconias kag sang iya mga utod nga lalaki, sang tion nga ang mga taga-Israel ginbihag pakadto sa Babilonia. 
Mateo|1|12|Sa tapos sang pagkabihag pakadto sa Babilonia, amo pa ini ang mga katigulangan ni Jesus: si Jeconias amay ni Salatiel, si Salatiel amay ni Zorobabel, 
Mateo|1|13|si Zorobabel amay ni Abiud, si Abiud amay ni Eliaquim, si Eliaquim amay ni Azor, 
Mateo|1|14|si Azor amay ni Sadoc, si Sadoc amay ni Aquim, si Aquim amay ni Eliud, 
Mateo|1|15|si Eliud amay ni Eleazar, si Eleazar amay ni Matan, si Matan amay ni Jacob, 
Mateo|1|16|kag si Jacob amay ni Jose nga bana ni Maria nga amo ang iloy ni Jesus nga ginatawag Cristo. 
Mateo|1|17|Gani may katorse ka mga kaliwatan halin kay Abraham tubtob kay David, kag may katorse man ka mga kaliwatan halin kay David tubtob sang pagbihag sang mga Israelinhon pakadto sa Babilonia, kag katorse pa gid ka kaliwatan halin sa pagdala sang mga Israelinhon sa Babilonia tubtob ang Cristo natawo. 
Mateo|1|18|Amo ini ang nahanabo sang si Jesu-Cristo natawo. Ang iya iloy nga si Maria kalasalon na kay Jose, pero sa wala pa sila makasal nasapwan ni Maria nga nagabusong na sia sa gahom sang Espiritu Santo. 
Mateo|1|19|Si Jose nga kalasalon sa iya isa ka tawo nga matarong, pero indi sia luyag nga mahuy-an si Maria sa mga tawo. Gani ginpakamaayo niya ang pagbiya sa iya sa tago lang. 
Mateo|1|20|Samtang ginabinagbinag ni Jose ini nga butang, ang isa ka anghel sang Ginoo nagpakita sa iya sa damgo nga nagasiling, "Jose, kaliwat ni David, indi ka magkahadlok sa pagpangasawa kay Maria, kay sia nagapanamkon paagi sa gahom sang Espiritu Santo. 
Mateo|1|21|Magaanak sia sing lalaki, kag pagahingalanan mo sia nga Jesus, kay magaluwas sia sang iya mga katawhan sa ila mga sala." 
Mateo|1|22|Karon ini tanan nahanabo agod matuman ang ginhambal sang Ginoo paagi sa propeta, 
Mateo|1|23|"Ang isa ka birhen magabusong kag magaanak sang isa ka bata nga lalaki, kag pagatawgon sia nga Emanuel," nga kon sayuron, "Ang Dios kaupod naton". 
Mateo|1|24|Gani sang pagmata ni Jose gintuman niya ang ginsugo sang anghel sang Ginoo, kag iya ginpangasawa si Maria. 
Mateo|1|25|Pero wala si Jose magtandog kay Maria tubtob nga nag-anak sia sing lalaki, kag ginhingalanan ni Jose ang bata nga Jesus.
Mateo|2|1|Sang natawo na si Jesus sa banwa sang Betlehem nga sakop sang Judea sa panahon nga si Herodes ang hari, may nag-abot sa Jerusalem nga mga tawo halin sa Sidlangan, nga nakatuon sang mga bituon. 
Mateo|2|2|Nagpamangkot sila, "Sa diin na bala ang bata nga natawo nga manginhari sang mga Judio? Nakita namon ang iya bituon sa sidlangan, kag nag-abot kami sa pagsimba sa iya." 
Mateo|2|3|Sang pagkabati sini ni Haring Herodes natublag gid sia, subong man ang tanan nga mga tawo sa Jerusalem. 
Mateo|2|4|Gani ginpatawag niya ang tanan nga mga pangulo sang mga pari kag ang mga manunodlo sang Kasugoan kag nagpamangkot sia sa ila, "Sa diin bala matawo ang Cristo?" 
Mateo|2|5|Nagsabat sila, "Didto sa banwa sang Betlehem nga sakop sang Judea, kay amo ini ang ginsulat sang propeta: 6'Kamo nga mga taga-Betlehem sa duta sang Juda,ang inyo banwa indi amo ang pinakakubos sa nagapanguna nga mga siudad sang Juda.Kay sa inyo katawhan magagikan ang isa ka pangulonga magatuytoy sa akon mga tawo nga Israelinhon.'" 
Mateo|2|7|Dayon ginpatawag ni Herodes sing tago ang mga bisita halin sa Sidlangan kag nagpamangkot sing maid-id sa ila kon san-o gid nagpakita ang bituon. 
Mateo|2|8|Dayon ginpakadto niya sila sa Betlehem kag ginmanduan, "Lakat kamo kag pangitaa sing maid-id ang bata, kag kon inyo sia makita pahibal-a ninyo ako, agod makakadto man ako kag magsimba sa iya." 
Mateo|2|9-10| Sang mabatian nila ang ginsiling sang hari, naglakat sila. Sang nagapanglakaton sila, nakita nila ang bituon nga nakita nila anay sa Sidlangan. Nagkalipay gid sila sang makita nila ang bituon. Nag-una ini sa ila kag nagdulog sa ibabaw sang lugar sa diin nahamtang ang bata. 
Mateo|2|11|Nagsulod sila sa balay kag nakita nila ang bata kaupod sang iya iloy nga si Maria. Nagluhod sila kag nagsimba sa bata. Dayon ginbuksan nila ang ila mga dala, kag nagdulot sila sa iya sang bulawan, insyenso, kag mira. 
Mateo|2|12|Ginpaandaman sila sang Dios sa damgo nga indi sila magbalik kay Herodes, gani nagpauli sila paagi sa lain nga dalan. 
Mateo|2|13|Sang makahalin na ang mga bisita, ang anghel sang Ginoo nagpakita kay Jose sa damgo kag nagsiling, "Bangon ka, dalha ang bata kag ang iya iloy kag magpalagyo kamo sa Ehipto. Pabilin kamo didto tubtob magsiling ako sa inyo nga maghalin kamo kay si Herodes magapapangita sang bata sa pagpatay sa iya." 
Mateo|2|14|Gani si Jose nagbangon kag gindala ang bata kag ang iloy sini sa sina gid nga gab-i pakadto sa Ehipto, 
Mateo|2|15|sa diin sila nag-estar tubtob nga si Herodes napatay. Ini nahanabo agod matuman ang ginsiling sang Ginoo paagi sa propeta, "Gintawag ko ang akon anak nga lalaki halin sa Ehipto." 
Mateo|2|16|Sang mahibal-an ni Herodes nga ginpalapaw sia sang mga bisita gikan sa Sidlangan, naakig gid sia. Nagmando sia nga pamatyon ang tanan nga mga bata nga lalaki sa Betlehem kag sa iya sini palibot nga mga banwa halin sa duha ka tuig paidalom, suno sa tion nga iya nahibal-an sa mga bisita kon san-o nagpakita ang bituon. 
Mateo|2|17|Sa sini natuman ang ginsiling ni Jeremias nga propeta: 
Mateo|2|18|"Isa ka tingog ang nabatian sa banwa sang Rama.Ang tingog sang pagpanalambiton kag paghinibi.Si Raquel nagahibi tungod sa iya mga kabataan,indi gid sia malugpayan,kay sila nagkalamatay." 
Mateo|2|19|Sang napatay na si Herodes, ang anghel sang Ginoo nagpakita paagi sa damgo kay Jose nga didto sa Ehipto 
Mateo|2|20|kag nagsiling, "Bangon ka, dalha ang bata kag ang iya iloy kag balik ka sa duta sang Israel kay patay na ang mga nagahingabot sa kabuhi sang bata." 
Mateo|2|21|Gani si Jose nagbangon, gindala ang bata kag ang iloy sini, kag nagbalik sa duta sang Israel. 
Mateo|2|22|Pero sang pagkabati ni Jose nga si Arquelao nga isa sang mga anak ni Herodes nga amo na karon ang nagagahom sa Judea, nahadlok sia magkadto didto. Sa tapos sia mapaandaman sa damgo, nagkadto sia sa probinsya sang Galilea. 
Mateo|2|23|Didto sia nag-estar sa banwa nga gintawag Nazaret, agod matuman ang ginsiling sang mga propeta, "Pagatawgon sia nga Nazareno."
Mateo|3|1|Sa sadtong mga adlaw nag-abot si Juan nga manugbautiso nga nagawali sa desierto sang Judea. 
Mateo|3|2|Nagsiling sia, "Untati ninyo ang pagpakasala, kay ang Ginharian sang langit malapit na!" 
Mateo|3|3|Si Juan amo ang tawo nga gintumod ni Isaias nga propeta sang magsiling sia:"Nagawali sing mabaskog ang isa ka tawo sa desierto,'Amana ninyo ang alagyan para sa Ginoo,maghimo kamo sing tadlong nga dalan nga iya pagaagyan!'" 
Mateo|3|4|Ang bayu ni Juan nahimo sa bulbol sang kamelyo, kag ang iya paha panit. Ang iya kalan-on apan kag dugos sa talon. 
Mateo|3|5|Nagkadto sa iya ang mga tawo nga halin sa Jerusalem, halin sa bug-os nga probinsya sang Judea kag halin sa tanan nga mga lugar sa palibot sang Suba sang Jordan. 
Mateo|3|6|Gintuad nila ang ila mga sala kag ginbautisohan niya sila sa Jordan. 
Mateo|3|7|Sang pagkakita ni Juan nga madamo ang mga Fariseo kag mga Saduceo nga nagpalapit sa iya sa pagpabautiso, nagsiling sia sa ila, "Mga kaliwat sang man-og! Sin-o bala ang nagsiling sa inyo nga makapalagyo kamo sa kaakig sang Dios nga madali na lang mag-abot? 
Mateo|3|8|Pamatud-i ninyo sa inyo mga buhat nga naghinulsol kamo sang inyo mga sala. 
Mateo|3|9|Indi kamo maghunahuna nga makapalagyo kamo sa silot paagi sa pagsiling nga si Abraham amo ang inyo amay. Nagasiling ako sa inyo nga ang Dios makahimo sining mga bato nga mga anak ni Abraham! 
Mateo|3|10|Ang Dios handa na sa pagwasay sang mga kahoy sa ila mga gamot. Ang tagsa ka kahoy nga indi maayo ang bunga pagatapson kag ihaboy sa kalayo. 
Mateo|3|11|Nagabautiso ako sa inyo sang tubig sa pagpakilala nga naghinulsol kamo, pero ang magaabot nga dason sa akon magabautiso sa inyo sang Espiritu Santo kag sang kalayo. Mas gamhanan pa sia sang sa akon, kag indi gani ako takos bisan pa sa pagbitbit sang iya mga sandalyas. 
Mateo|3|12|Ginauyatan na niya ang iya inugpahangin sa pagpain sang tinggas sa upa. Dayon pagatipunon niya ang matinggas nga mga uyas sa iya bodega, pero pagasunogon niya ang upa sa kalayo nga indi gid mapalong." 
Mateo|3|13|Dayon nag-abot si Jesus sa Jordan halin sa Galilea, kag nagkadto sia kay Juan sa pagpabautiso. 
