Book|Chapter #|Verse #|Verse
San Mateo|1|1|Daytoy ti libro ti kapuonan ni Jesu-Cristo a nagtaud iti kaputotan ni David, a nagtaud met iti kaputotan ni Abraham. 
San Mateo|1|2-6|aManipud ken ni Abraham agingga ken ni Ari David, adtoy dagiti nailista a kaputotan: Abraham, Isaac, Jacob, Juda ken dagiti kakabsatna; sumaruno da Fares ken Zara nga annak ni Tamar; Esrom, Aram, Aminadab, Naason, Salmon, Boaz nga anak ni Rahab, Obed nga anak ni Ruth, Jesse ken ni Ari David. 
San Mateo|1|6b-11| Dagiti kaputotan manipud ken ni David agingga idi napagtalaw dagiti Israelita a kas balud ket naipanda idiay Babilonia: David, Solomon (putot ni David iti asawa idi ni Urias), Roboam, Abias, Asa, Josafat, Joram, Ozias, Joatam, Acaz, Hezekias, Manases, Amon, Josias, ken ni Jeconias agraman dagiti kakabsatna. 
San Mateo|1|12-16| Dagiti kaputotan kalpasan ti pannakaipan dagiti Israelita idiay Babilonia agingga iti pannakayanak ni Jesus: Jeconias, Salatiel, Zorobabel, Abiud, Eliakim, Azor, Sadoc, Akim, Eliud, Eleazar, Matan, Jacob, Jose nga asawa ni Maria nga ina ni Jesus a maawagan iti Cristo. 
San Mateo|1|17|Ngarud, adda 14 a kaputotan manipud ken Abraham agingga ken ni David. Sangapulo ket uppat met ti kaputotan manipud ken ni David agingga a naipan dagiti Israelita idiay Babilonia. Adda met 14 a kaputotan manipud pannakaipanda idiay Babilonia agingga iti pannakayanak ti Cristo. 
San Mateo|1|18|Kastoy ti pakasaritaan ti pannakayanak ni Jesu-Cristo: Naitulag ni Maria nga inana a mayasawa ken ni Jose. Ngem sakbay ti panagkasarda, naammoan a masikogen ni Maria babaen iti pannakabalin ti Espiritu Santo. 
San Mateo|1|19|Agsipud ta nasingpet a lalaki ni Jose a nakaitulaganna, ket dina kayat a maibabain ni Maria, pinanggepna nga isina a sililimed. 
San Mateo|1|20|Ngem idi pampanunotenna daytoy, nagparang kenkuana ti anghel ti Apo iti maysa a tagtagainep. Kinunana, "Jose nga anak ni David, dika agamak a mangikasar ken ni Maria, ta aramid ti Espiritu Santo ti sikogna. 
San Mateo|1|21|Ipasngaynanto ti maysa a lalaki ket panaganamto iti Jesus, agsipud ta isalakannanto dagiti tattaona kadagiti basbasolda." 
San Mateo|1|22|Naaramid amin daytoy tapno matungpal ti insao ti Apo babaen iti profeta: 
San Mateo|1|23|"Agsikogto ti birhen a balasang. Ipasngaynanto ti maysa a lalaki, ket mapanagananto iti Immanuel a kayatna a sawen, 'Adda kadatayo ti Dios.'" 
San Mateo|1|24|Idi makariing ni Jose, tinungpalna ti imbaga ti anghel ket inkasarna ni Maria. 
San Mateo|1|25|Ngem saanna a dinennaan ni Maria sakbay a nangipasngay iti anak a lalaki a pinanaganan ni Jose iti Jesus.
San Mateo|2|1|Nayanak ni Jesus iti ili a Betlehem idiay Judea, idi ni Herodes ti agdama nga ari. Saan a nabayag kalpasan ti pannakayanakna, adda mamasirib a lallaki a taga-daya a napan idiay Jerusalem. 
San Mateo|2|2|"Sadino ti ayan ti ubing a nayanak nga ari dagiti Judio?" sinaludsodda. "Nakitami ti bituenna a nagparang idiay daya ket immaykami agdaydayaw kenkuana." 
San Mateo|2|3|Idi madamag daytoy ni Ari Herodes, napalalo ti pannakariribukna, kasta met ti tunggal maysa a taga-Jerusalem. 
San Mateo|2|4|Pinaayabanna ngarud dagiti panguloen a papadi ken mamaestro iti Linteg ket sinaludsodna kadakuada no sadino ti pakayanakan ti Cristo. 
San Mateo|2|5|"Iti ili a Betlehem idiay Judea," insungbatda, "ta daytoy ti insurat ti profeta: 6'Sika, Betlehem, iti daga ti Juda,Saanka a maudi kadagiti ili iti Juda;Ta tumaudto kenka ti maysa a panguloA mangaywan iti ilik nga Israel.'" 
San Mateo|2|7|Inayaban ngarud ni Herodes dagiti sangaili ket kinasaritana ida iti nalimed. Sinaludsodna kadakuada no kaano ti panagparang ti bituen. 
