Book|Chapter #|Verse #|Verse
Mateo|1|1|Niaya o nakatolas a kavoyan sia o pinakayakayapoan ni Jesu Cristo a tayabo ni David a asa ka tayabo ni Abraham. 
Mateo|1|2|Si Abraham o ama ni Isaac as si Isaac o ama ni Jacob. Si Jacob o ama da Juda kanira no kakakteh na sa a mahahakay. 
Mateo|1|3|Si Juda a kakovot ni Tamar am ama da Fares kani Zara. Si Fares o ama ni Esrom as si Esrom o ama ni Aram. 
Mateo|1|4|Si Aram o ama ni Aminadab as si Aminadab o ama ni Naason. Si Naason o ama ni Salmon 
Mateo|1|5|as si Salmon o ama ni Boaz as no ina na am si Rahab. Si Boaz o ama ni Obed as no ina ni Obed am si Ruth. As si Obed o ama ni Jesse 
Mateo|1|6|a iya dana so ama no Patol a si David.Si David o ama ni Solomon as no ina ni Solomon am no nakakovot ni Urias. 
Mateo|1|7|As si Solomon o ama ni Roboam. Si Roboam o ama ni Abias as si Abias o ama ni Asa. 
Mateo|1|8|Si Asa o ama ni Josafat as si Josafat o ama ni Joram. Si Joram am ama ni Ozias. 
Mateo|1|9|Si Ozias o ama ni Jotam as si Jotam o ama ni Ahaz. Si Ahaz o ama ni Ezekias. 
Mateo|1|10|Si Ezekias o ama ni Manases as si Manases o ama ni Amon. Si Amon o ama ni Josias 
Mateo|1|11|as si Josias o ama ni Jeconias kanira no kakakteh na sa a mahahakay. Nia o tiempo no nakahomis da sira no Babilonia o tawotawo no Israel as kangay da nira a pakovoten do kavahayan da do Babilonia. 
Mateo|1|12|As do nakahap da sirawri a iyangay do Babilonia am mian o anak ni Jeconias a si Salatiel. Si Salatiel o ama ni Zorobabel 
Mateo|1|13|as si Zorobabel o ama ni Abiud. Si Abiud o ama ni Eliakim as si Eliakim o ama ni Azor. 
Mateo|1|14|Si Azor o ama ni Zadoc as si Zadoc o ama ni Akim. Si Akim o ama ni Eliud 
Mateo|1|15|as si Eliud o ama ni Eleazar. Si Eleazar o ama ni Matan as si Matan o ama ni Jacob 
Mateo|1|16|as si Jacob o ama ni Jose a kakovot ni Maria as si Maria aya o ina ni Jesus a tawagan so Mesias anmana Cristo a iya so tinovoy no Dios do tana aya. 
Mateo|1|17|Dawa katorse a ka henerasion a nakayapo di Abraham a manda di David, as alit na am katorse a ka henerasion o nakayapo di David a manda do nakangay daya do Babilonia no Israelita a pakovoten as katorse pa ka henerasion do nakayapo do nakawara da do Babilonia a manda dana do nakawara ni Jesu Cristo. 
Mateo|1|18|Niaya o napaparin do nakawara na a tawo ni Jesu Cristo. No ina ni Jesus a si Maria am nachitrato do kapaychakovot da kani Jose amna manam pa kano kapaychakovot as kano kapayasa da asa vahay am mian dana o kovoten ni Maria as no kovoten naya am yapo do Masanto a Espirito. 
Mateo|1|19|As si Jose aya a oyod a mapia so dadakay am chinakey nava a ipasnek si Maria do aro a tawo do kapasiay na sia so matalamad a nia so logar a parinyen na, dawa niplano na o kapasiay na sia so oyod a masekreto. 
Mateo|1|20|Amna do kaari na komtokto nia o plano naya am nawara sia o asa ka anghel do tayenep na a makavata sia, "Jose, imo a asa ka tayabo ni David, ichamo moava a kakovoten si Maria, ta no kovoten naya am yapo do Masanto a Espirito, 
Mateo|1|21|as kapayanak na anti so mahakay as ngaranan nio so Jesus, ta iya anti o omlibri so tawotawo na sa do gatogatos da." 
Mateo|1|22|Do niaya sa a napaparin am nakatongtong o vinata no Dios a pinatoyo na do asa ka profeta a makavata sia, 
Mateo|1|23|"Tiban nio, ta maymanganak anti o asa ka virhen so mahakay as tawagan da anti so Emmanuel,"a nia so mayinmonmoan so Machichasa diaten o Dios. 
Mateo|1|24|Dawa do nakayokay ni Jose am inanohdan na o niyokoyokoran awri sia no anghel no Dios. Dawa inahap na a kakovoten si Maria. 
Mateo|1|25|Pero tinodo nava si Maria a manda do nakawara ni Jesus. As do nakawara no metdeh aya am ningaranan sia ni Jose so Jesus.
Mateo|2|1|Nawara si Jesus do asa ka kavahayan do Judea a mayngaran so Bethlehem do tiempo no kapaypatol ni Herodes. As mian sa o mahahakay a masosolib do kapakaparin no vitovitohen a nawara do Jerusalem a yapo do kavahayan a machimangket do twawan no araw a mangaheahes a makavata sia, 
Mateo|2|2|"Dino paro o yanan no metdeh aya a nawara a patol da no Judeo, takwan do kayan namen pa do kavahayan namen am navoya namen o vitohen aya a sinyal do nakawara narana, as dawa tayto kami a mangay a omanianib sia." 
Mateo|2|3|Do nakadngey da sia ya da Patol Herodes kano tawotawo do Jerusalem am oyod da chinagolo. 
Mateo|2|4|Dawa pinatawag sa ni Herodes o atavo a maato sa a papali kano eskriba a sira so masosolib do nanawo da no Judeo as kahes na nia, "Dino o logar a kawaran no Mesias aya." 
Mateo|2|5|Tominbay sira as kavata da sia, "Do kavahayan no Bethlehem do Judea akma so pinatolas no profeta kaychowa,
