Book|Chapter #|Verse #|Verse
Mateo|1|1|Iti ya ing listahan a piakitan karing makatua nang Jesu-Cristo a menibat king lahi nang David a lahi nang Abraham. 
Mateo|1|2|Anak neng Abraham i Isaac, anak neng Isaac i Jacob, anak neng Jacob i Juda at ding kapatad nang lalaki. 
Mateo|1|3|Anak na lang Juda kang Tamar di Perez at Zera; anak neng Perez i Hezron, anak neng Hezron i Aran. 
Mateo|1|4|Anak neng Aran i Aminadab, anak neng Aminadab i Nason, anak neng Nason i Salmon. 
Mateo|1|5|Anak neng Salmon i Boaz kang Rahab, anak neng Boaz kang Ruth i Obed, anak neng Obed i Jese. 
Mateo|1|6|Anak neng Jese ing Aring David.Anak neng David i Solomon king meging asawa nang Uria. 
Mateo|1|7|Anak neng Solomon i Rehoboam, anak neng Rehoboam i Abiya, anak neng Abiya i Asa. 
Mateo|1|8|Anak neng Asa i Jeosafat, anak neng Jeosafat i Jeoram, anak neng Jeoram i Uzzia. 
Mateo|1|9|Anak neng Uzzia i Jotam, anak neng Jotam i Ahaz, anak neng Ahaz i Hezekia. 
Mateo|1|10|Anak neng Hezekia i Manase, anak neng Manase i Amon, anak neng Amon i Josias. 
Mateo|1|11|Anak neng Josias i Jeconias at ding kapatad nang lalaki. Kanita milyari ing pangadala da ring Israelita anting bihag karin Babilonia. 
Mateo|1|12|Kaybat ning pangadala da ring Israelita anting bihag karin Babilonia, ayanak neng Jeconias i Salatiel, ayanak neng Salatiel i Zerubabel. 
Mateo|1|13|Ayanak neng Zerubabel i Abiud, ayanak neng Abiud i Eliakim, ayanak neng Eliakim i Azor. 
Mateo|1|14|Ayanak neng Azor i Zadoc, ayanak neng Zadoc i Akim, ayanak neng Akim i Eliud. 
Mateo|1|15|Ayanak neng Eliud i Eleazar, ayanak neng Eleazar i Matan, ayanak neng Matan i Jacob. 
Mateo|1|16|I Jacob ya i tata nang Jose a asawa nang Maria; i Maria ya ing ima nang Jesus a mayayaus Cristo. 
Mateo|1|17|Inya heganagana, labi lang apat ding lahi manibat kang Abraham angga kang David; labi lang apat ding lahi manibat kang David angga king pangadala da ring Israelita anting bihag karin Babilonia, at labi lang apat ding lahi manibat king pangadala da ring Israelita anting bihag karin Babilonia angga king pangabait ning Cristo. 
