Book|Chapter #|Verse #|Verse
Mateo|1|1|Amo ini an mga kalulululuhi ni Jesu-Cristo na kalahi ni David kag kalahi man ni Abraham. 
Mateo|1|2|Si Abraham ama ni Isaac na ama ni Jacob. Si Jacob naman ama ni Juda kag san iya mga kamaranghod na lalaki. 
Mateo|1|3|Ini si Juda ama ninda Fares kag Zara na an iloy si Tamar; si Fares naman ama ni Esrom na ama ni Aram. 
Mateo|1|4|Si Aram ama ni Aminadab na ama ni Naason na ama naman ni Salmon. 
Mateo|1|5|Si Salmon ama ni Booz na an iloy si Rahab. Si Booz naman ama ni Obed na an iloy si Ruth, tapos si Obed ama ni Jesse 
Mateo|1|6|na ama san nagin hadi na si David. Tapos, si David ama ni Solomon na an iloy dati asawa ni Urias. 
Mateo|1|7|Si Solomon naman ama ni Roboam na ama ni Abias na ama naman ni Asa. 
Mateo|1|8|Si Asa ama ni Josafat na ama ni Joram na ama naman ni Ozias. 
Mateo|1|9|Si Ozias ama ni Jotam na ama ni Acaz na ama naman ni Esequias. 
Mateo|1|10|Si Esequias ama ni Manases na ama ni Amon na ama naman ni Josias. 
Mateo|1|11|Ini siya ama ni Jeconias kag san iya mga kamaranghod na lalaki. Sana na panahon nangyari an pagkabihag san mga taga-Israel sa Babilonia. 
Mateo|1|12|Pakatapos sani:si Jeconias nagin ama ni Salatiel na ama ni Zorobabel. 
Mateo|1|13|Si Zorobabel ama ni Abiud na ama ni Eliaquim na ama naman ni Azor. 
Mateo|1|14|Si Azor ama ni Sadoc na ama ni Aquim na ama naman ni Eliud. 
Mateo|1|15|Si Eliud ama ni Eleazar na ama ni Matan na ama naman ni Jacob. 
Mateo|1|16|Ini siya an nagin ama ni Jose na asawa ni Maria na nagin iloy ni Jesus na ginatawag na Cristo. 
Mateo|1|17|Kun sugad nagkaigwa sin katorse na kalulululuhan tuna kan Abraham hasta kan David. Nagkaigwa man sin katorse na mga kalulululuhan tuna kan David pakadto sa pagkabihag san mga taga-Israel sa Babilonia. Tapos, katorse naman na kalulululuhan tuna sa pagkabihag sa Babilonia hasta kan Cristo. 
Mateo|1|18|Niyan amo ini an pagkaanak kan Jesu-Cristo. San karaslon pa lang an iya iloy na si Maria kan Jose kag wara pa sinda magbiyo, naaraman na niya na nagbudos si Maria. Nangyari ini sa gahom san Espirito Santo pero dili ini aram ni Jose. 
Mateo|1|19|Kay matanos siya na tawo nag-isip na bulagan si Maria pero sa sikreto lang kay dili niya gusto na maaluhan siya sa kadamuan. 
Mateo|1|20|San ginaisip-isip ini ni Jose, may anghel san Ginoo na nagpakita sa iya sa damgo kag nagsabi, "Jose, kalahi ni David, ayaw pag-alang-alang pag-ako kan Maria na magin asawa mo kay an iya pagbudos paagi sa gahom san Espirito Santo. 
