Book|Chapter #|Verse #|Verse
Mateo|1|1|Sikato yay listaan na saray lalaki nen Jesu-Cristo a kabyangay boleg nen David a kabyangay boleg nen Abraham. 
Mateo|1|2|Si Abraham so ama nen Isaac; si Isaac so ama nen Jacob; si Jacob so ama nen Juda tan saray agagi to. 
Mateo|1|3|Si Juda so ama di Fares tan Zara (si Tamar so ina ra); si Fares so ama nen Esrom; si Esrom so ama nen Aram. 
Mateo|1|4|Si Aram so ama nen Aminadab; si Aminadab so ama nen Naason; si Naason so ama nen Salmon. 
Mateo|1|5|Si Salmon so ama nen Booz (si Rahab so ina to); si Booz so ama nen Obed (si Ruth so ina to); si Obed so ama nen Jesse. 
Mateo|1|6|Si Jesse so ama nen Ari David.Si David so ama nen Solomon (say gendat ya asawa nen Urias so ina to). 
Mateo|1|7|Si Solomon so ama nen Roboam; si Roboam so ama nen Abias; si Abias so ama nen Asa. 
Mateo|1|8|Si Asa so ama nen Josafat; si Josafat so ama nen Joram; si Joram so ama nen Ozias. 
Mateo|1|9|Si Ozias so ama nen Jotam; si Jotam so ama nen Acaz; si Acaz so ama nen Ezekias. 
Mateo|1|10|Si Ezekias so ama nen Manases; si Manases so ama nen Amon; si Amon so ama nen Josias. 
Mateo|1|11|Si Josias so ama nen Jeconias tan saray agagi to. Dia ed sayan panaon nibantak ed Babilonia iray Israelita. 
Mateo|1|12|Nen asumpal so inkibantak dad Babilonia, nianak si Salatiel tan si Jeconias so ama to. Si Salatiel so ama nen Zorobabel; 
Mateo|1|13|si Zorobabel so ama nen Abiud; si Abiud so ama nen Eliakim; si Eliakim so ama nen Azor. 
Mateo|1|14|Si Azor so ama nen Sadoc; si Sadoc so ama nen Akim; si Akim so ama nen Eliud. 
Mateo|1|15|Si Eliud so ama nen Eleazar; si Eleazar so ama nen Matan; si Matan so ama nen Jacob. 
Mateo|1|16|Si Jacob so ama nen Jose ya asawa nen Maria, ya ina nen Jesus a tatawagey Cristo. 
Mateo|1|17|No ontan sirin, labinapat so kailalakan manlapud Abraham ya anggad David; labinapat met so kailalakan manlapud David ya anggad inkibantak ed Babilonia na saray Israelita; ontan met a labinapat so kailalakan manlapud saman ya inkibantak da ya anggad inkianak na Misias. 
Mateo|1|18|Onyay impakaiyanak nen Jesu-Cristo:Si Maria ya ina nen Jesus akisipanan a mikasal ed kinen Jose. Balet kasakbayan na impanamung dan dua, nalmuan a malokun si Maria lapud pakayari na Ispiritu Santo. 
Mateo|1|19|Matonung a too si Jose a kasipan nen Maria, kanyan ag to labay a nasabyay kababaingan si Maria. Ninunot to sirin ya isian ya anggapoy makaamta. 
Mateo|1|20|Balet nen nununoten to ya, pinmayawar so sakey ya anghil na Katawan ed kugip to a nankuan: "Jose, a kabyangay boleg nen David, ag ka natatakot ya ituloy mon ikasal si Maria, ta nanlapud pakayari na Ispiritu Santo so lokun to. 
Mateo|1|21|Mananak na laki. Jesus so ingaran mod sikato, ta sikatoy mangilaban ed saray totoo tod saray kasalanan da." 
Mateo|1|22|Agawa yan amin, pian nasumpal so inkuan na Katawan diad panamegley na propita, 
Mateo|1|23|"Manlokun so sakey a birhin, tan mananak na laki a tawagen day Emmanuel" (a say labay ton ibaga: "Say Dios walad sikatayo"). 
Mateo|1|24|Kanyan nen abangon si Jose, ginawa to may imbaga na anghil na Katawan. Inkasal toy Maria, 
