XX,masbateno,tuwali_ifugao,yami,cebuano,ilocano,ivatan,kapampangan,pangasinense,tausug,yakan,bikol,english,hiligaynon,spanish,tagalog,waray
masbateno,1,0.294,0.301,0.237,0.278,0.247,0.256,0.253,0.306,0.305,0.23,0.324,0.197,0.212,0.243,0.274
tuwali_ifugao,0.294,1,0.217,0.564,0.612,0.537,0.488,0.634,0.583,0.545,0.45,0.426,0.454,0.346,0.448,0.603
yami,0.301,0.217,1,0.19,0.223,0.195,0.21,0.198,0.247,0.274,0.233,0.259,0.194,0.195,0.224,0.215
cebuano,0.237,0.564,0.19,1,0.548,0.566,0.443,0.631,0.462,0.456,0.386,0.381,0.417,0.308,0.397,0.61
ilocano,0.278,0.612,0.223,0.548,1,0.551,0.48,0.587,0.495,0.513,0.417,0.447,0.425,0.339,0.423,0.629
ivatan,0.247,0.537,0.195,0.566,0.551,1,0.435,0.601,0.429,0.454,0.39,0.378,0.415,0.308,0.395,0.584
kapampangan,0.256,0.488,0.21,0.443,0.48,0.435,1,0.489,0.469,0.5,0.391,0.424,0.403,0.34,0.418,0.481
pangasinense,0.253,0.634,0.198,0.631,0.587,0.601,0.489,1,0.504,0.515,0.446,0.419,0.463,0.336,0.472,0.652
tausug,0.306,0.583,0.247,0.462,0.495,0.429,0.469,0.504,1,0.523,0.484,0.395,0.448,0.312,0.455,0.496
yakan,0.305,0.545,0.274,0.456,0.513,0.454,0.5,0.515,0.523,1,0.402,0.477,0.396,0.389,0.442,0.513
bikol,0.23,0.45,0.233,0.386,0.417,0.39,0.391,0.446,0.484,0.402,1,0.327,0.493,0.286,0.415,0.453
english,0.324,0.426,0.259,0.381,0.447,0.378,0.424,0.419,0.395,0.477,0.327,1,0.293,0.448,0.369,0.443
hiligaynon,0.197,0.454,0.194,0.417,0.425,0.415,0.403,0.463,0.448,0.396,0.493,0.293,1,0.278,0.388,0.445
spanish,0.212,0.346,0.195,0.308,0.339,0.308,0.34,0.336,0.312,0.389,0.286,0.448,0.278,1,0.295,0.337
tagalog,0.243,0.448,0.224,0.397,0.423,0.395,0.418,0.472,0.455,0.442,0.415,0.369,0.388,0.295,1,0.435
waray,0.274,0.603,0.215,0.61,0.629,0.584,0.481,0.652,0.496,0.513,0.453,0.443,0.445,0.337,0.435,1
