Book|Chapter #|Verse #|Verse
San Mateo|1|1|Libro de la generación de Jesús, el Cristo, hijo de David, hijo de Abraham. 
San Mateo|1|2|Abraham engendró a Isaac; e Isaac engendró a Jacob; y Jacob engendró a Judá y a sus hermanos. 
San Mateo|1|3|Y Judá engendró de Tamar a Fares y a Zara; y Fares engendró a Esrom; y Esrom engendró a Aram. 
San Mateo|1|4|Y Aram engendró a Aminadab; y Aminadab engendró a Naasón; y Naasón engendró a Salmón. 
San Mateo|1|5|Y Salmón engendró de Rahab a Booz, y Booz engendró de Rut a Obed y Obed engendró a Jessé. 
San Mateo|1|6|Y Jessé engendró al rey David; y el rey David engendró a Salomón de la que fue mujer de Urías: 
San Mateo|1|7|Y Salomón engendró a Roboam; y Roboam engendró a Abías; y Abías engendró a Asa. 
San Mateo|1|8|Y Asa engendró a Josafat; y Josafat engendró a Joram; y Joram engendró a Uzías. 
San Mateo|1|9|Y Uzías engendró a Jotam; y Jotam engendró a Acaz; y Acaz engendró a Ezequías. 
San Mateo|1|10|Y Ezequías engendró a Manasés; y Manasés engendró a Amón; y Amón engendró a Josías. 
San Mateo|1|11|Y Josías engendró a Jeconías y a sus hermanos, en el tiempo de la transmigración de Babilonia. 
San Mateo|1|12|Y después de la transmigración de Babilonia, Jeconías engendró a Salatiel; y Salatiel engendró a Zorobabel. 
San Mateo|1|13|Y Zorobabel engendró a Abiud; y Abiud engendró a Eliaquim; y Eliaquim engendró a Azor. 
San Mateo|1|14|Y Azor engendró a Sadoc; y Sadoc engendró a Aquim; y Aquim engendró a Eliud. 
San Mateo|1|15|Y Eliud engendró a Eleazar; y Eleazar engendró a Matán; y Matán engendró a Jacob. 
San Mateo|1|16|Y Jacob engendró a José, marido de María, de la cual nació Jesús, el cual es llamado, el Cristo. 
San Mateo|1|17|De manera que todas las generaciones desde Abraham hasta David son catorce generaciones; y desde David hasta la transmigración de Babilonia, catorce generaciones; y desde la transmigración de Babilonia hasta el Cristo, catorce generaciones. 
San Mateo|1|18|Y el nacimiento de Jesús, el Cristo, fue así: Que siendo María su madre desposada con José, antes que se juntara, se halló que había concebido del Espíritu Santo. 
San Mateo|1|19|Y José su marido, como era justo, y no queriendo infamarla, quiso dejarla secretamente. 
San Mateo|1|20|Y pensando él en esto, he aquí el ángel del Señor se le aparece en sueños, diciendo: José, hijo de David, no temas de recibir a María tu mujer, porque lo que en ella es engendrado, del Espíritu Santo es. 
San Mateo|1|21|Y dará a luz un hijo, y llamarás su nombre JESÚS, porque él salvará a su pueblo de sus pecados. 
San Mateo|1|22|Todo esto aconteció para que se cumpliera lo que fue dicho por el Señor, por el profeta que dijo: 
San Mateo|1|23|He aquí una Virgen concebirá y dará a luz un hijo, y llamarás su nombre Emmanuel, que es, si lo declaras: Dios con nosotros. 
San Mateo|1|24|Y siendo despertado José del sueño, hizo como el ángel del Señor le había mandado, y recibió a su mujer. 
San Mateo|1|25|Y no la conoció hasta que dio a luz a su hijo Primogénito; y llamó su nombre JESÚS.
San Mateo|2|1|Y cuando nació Jesús en Belén de Judea en días del rey Herodes, he aquí unos sabios vinieron del oriente a Jerusalén, 
San Mateo|2|2|diciendo: ¿Dónde está el Rey de los Judíos, que ha nacido? Porque su estrella hemos visto en el oriente, y venimos a adorarle. 
San Mateo|2|3|Y oyendo esto el rey Herodes, se turbó, y toda Jerusalén con él. 
San Mateo|2|4|Y convocados todos los príncipes de los sacerdotes, y los escribas del pueblo, les preguntó dónde había de nacer el Cristo. 
San Mateo|2|5|Y ellos le dijeron: En Belén de Judea; porque así está escrito por el profeta: 
San Mateo|2|6|Y tú, Belén, de tierra de Judá, no eres muy pequeña entre los príncipes de Judá; porque de ti saldrá un Guiador, que apacentará a mi pueblo Israel. 
San Mateo|2|7|Entonces Herodes, llamando en secreto a los sabios, entendió de ellos diligentemente el tiempo de la aparición de la estrella; 
San Mateo|2|8|y enviándolos a Belén, dijo: Andad allá, y preguntad con diligencia por el niño; y después que le hallaréis, hacédmelo saber, para que yo también vaya y le adore. 
San Mateo|2|9|Y ellos, habiendo oído al rey, se fueron; y he aquí la estrella que habían visto en el oriente, iba delante de ellos, hasta que llegando, se puso sobre donde estaba el niño. 
San Mateo|2|10|Y viendo la estrella, se regocijaron con muy grande gozo. 
San Mateo|2|11|Y entrando en la casa, vieron al niño con su madre María, y postrándose, le adoraron; y abriendo sus tesoros, le ofrecieron dones: oro, e incienso y mirra. 
San Mateo|2|12|Y siendo avisados por revelación Divina en sueños que no volvieran a Herodes, se volvieron a su tierra por otro camino. 
San Mateo|2|13|Y partidos ellos, he aquí el ángel del Señor aparece en sueños a José, diciendo: Levántate, y toma al niño y a su madre, y huye a Egipto, y permanece allá hasta que yo te lo diga; porque ha de acontecer, que Herodes buscará al niño para matarlo. 
San Mateo|2|14|Y él despertando, tomó al niño y a su madre de noche, y se fue a Egipto; 
San Mateo|2|15|y estuvo allá hasta la muerte de Herodes: para que se cumpliera lo que fue dicho por el Señor, por el profeta que dijo: De Egipto llamé a mi Hijo. 
San Mateo|2|16|Herodes entonces, viéndose burlado de los sabios, se enojó mucho, y envió, y mató a todos los niños que había en Belén y en todos sus términos, de edad de dos años abajo, conforme al tiempo que había entendido de los sabios. 
San Mateo|2|17|Entonces se cumplió lo que fue dicho por el Señor por el profeta Jeremías, que dijo: 
San Mateo|2|18|Voz fue oída en Ramá, lamentación, lloro y gemido grande; Raquel que llora sus hijos, y no quiso ser consolada, porque perecieron. 
San Mateo|2|19|Mas muerto Herodes, he aquí el ángel del Señor aparece en sueños a José en Egipto, 
San Mateo|2|20|diciendo: Levántate, y toma al niño y a su madre, y vete a tierra de Israel; que muertos están los que procuraban la muerte del niño. 
San Mateo|2|21|Entonces él se levantó, y tomó al niño y a su madre, y se vino a tierra de Israel. 
San Mateo|2|22|Y oyendo que Arquelao reinaba en Judea en lugar de Herodes su padre, temió ir allá; mas amonestado por revelación Divina en sueños, se fue a las partes de Galilea. 
San Mateo|2|23|Y vino, y habitó en la ciudad que se llama Nazaret, para que se cumpliera lo que fue dicho por los profetas, que había de ser llamado Nazareno.
