Book|Chapter #|Verse #|Verse
Mateo|1|1|Ang aklat ng lahi ni Jesucristo, na anak ni David, na anak ni Abraham. 
Mateo|1|2|Naging anak ni Abraham si Isaac; at naging anak ni Isaac si Jacob; at naging anak ni Jacob si Juda at ang kaniyang mga kapatid; 
Mateo|1|3|At naging anak ni Juda kay Tamar si Fares at si Zara; at naging anak ni Fares si Esrom; at naging anak ni Esrom si Aram; 
Mateo|1|4|At naging anak ni Aram si Aminadab; at naging anak ni Aminadab si Naason; at naging anak ni Naason si Salmon; 
Mateo|1|5|At naging anak ni Salmon kay Rahab si Booz; at naging anak ni Booz kay Rut si Obed; at naging anak ni Obed si Jesse. 
Mateo|1|6|At naging anak ni Jesse ang haring si David; at naging anak ni David si Salomon, doon sa naging asawa ni Urias; 
Mateo|1|7|At naging anak ni Salomon si Reboam; at naging anak ni Reboam si Abias; at naging anak ni Abias si Asa; 
Mateo|1|8|At naging anak ni Asa si Josafat; at naging anak ni Josafat si Joram; at naging anak ni Joram si Ozias; 
Mateo|1|9|At naging anak ni Ozias si Joatam; at naging anak ni Joatam si Acaz; at naging anak ni Acaz si Ezequias; 
Mateo|1|10|At naging anak ni Ezequias si Manases; at naging anak ni Manases si Amon; at naging anak ni Amon si Josias; 
Mateo|1|11|At naging anak ni Josias si Jeconias at ang kaniyang mga kapatid, nang panahon ng pagkadalang-bihag sa Babilonia. 
Mateo|1|12|At pagkatapos nang pagkadalangbihag sa Babilonia, ay naging anak ni Jeconias si Salatiel; at naging anak ni Salatiel si Zorobabel; 
Mateo|1|13|At naging anak ni Zorobabel si Abiud; at naging anak ni Abiud si Eliaquim; at naging anak ni Eliaquim si Azor; 
Mateo|1|14|At naging anak ni Azor si Sadoc; at naging anak ni Sadoc si Aquim; at naging anak ni Aquim si Eliud; 
Mateo|1|15|At naging anak ni Eliud si Eleazar; at naging anak ni Eleazar si Matan; at naging anak ni Matan si Jacob; 
Mateo|1|16|At naging anak ni Jacob si Jose asawa ni Maria, na siyang nanganak kay Jesus, na siyang tinatawag na Cristo. 
Mateo|1|17|Sa makatuwid ang lahat ng mga salit-saling lahi buhat kay Abraham hanggang kay David ay labingapat na salit-saling lahi; at buhat kay David hanggang sa pagdalang-bihag sa Babilonia ay labingapat na sali't-saling lahi; at buhat sa pagkadalang-bihag sa Babilonia hanggang kay Cristo ay labingapat na sali't-saling lahi. 
Mateo|1|18|Ang pagkapanganak nga kay Jesucristo ay ganito: Nang si Maria na kaniyang ina ay magaasawa kay Jose, bago sila magsama ay nasumpungang siya'y nagdadalang-tao sa pamamagitan ng Espiritu Santo. 
Mateo|1|19|At si Jose na kaniyang asawa, palibhasa'y lalaking matuwid, at ayaw na ihayag sa madla ang kaniyang kapurihan, ay nagpasiyang hiwalayan siya ng lihim. 
Mateo|1|20|Datapuwa't samantalang pinagiisip niya ito, narito, ang isang anghel ng Panginoon ay napakita sa kaniya sa panaginip, na nagsasabi: Jose, anak ni David, huwag kang mangamba sa pagtanggap kay Maria na iyong asawa: sapagka't ang kaniyang dinadalang-tao ay sa Espiritu Santo. 
