Book|Chapter #|Verse #|Verse
Matiyu|1|1|Manjari, amu ini in usulan sin pangkat hi Īsa Almasi, hambuuk panubuꞌ hi Daud, amu in hambuuk panubuꞌ hi Ibrahim. 
Matiyu|1|2-6| Biyaꞌ ha ini in pangkat hi Īsa Almasi tagnaan dayn kan Ibrahim sampay naabut mawn kan Sultan Daud.Hi Ibrahim, in anak niya hi Isahak;in hi Isahak, in anak niya hi Yaꞌkub;in hi Yaꞌkub, in anak niya hi Yudah iban sin manga taymanghud niya.Sakali in anak sin Yudah hi Piris kay Sira (in inaꞌ nila hi Tamar).In hi Piris, in anak niya hi Hisdun;in hi Hisdun, in anak niya hi Aram;in hi Aram, in anak niya hi Amminadab;in hi Amminadab, in anak niya hi Nassun;in hi Nassun, in anak niya hi Salmun;in hi Salmun, in anak niya hi Buwas (in inaꞌ hi Buwas hi Rahab);in hi Buwas, in anak niya hi Ubid (in inaꞌ hi Ubid hi Rut);in hi Ubid, in anak niya hi Jissi;in hi Jissi, in anak niya hi Sultan Daud. 
Matiyu|1|7-11| Na, biyaꞌ ha ini isab in usulan sin pangkat hi Īsa tagnaan dayn kan Sultan Daud sampay pa waktu narā in manga tau Israil pa hulaꞌ Babilun ha bukun nila kabayaan.In hi Daud, in anak niya hi Sulayman (in inaꞌ hi Sulayman amuna in bakas asawa hi Uriyas);in hi Sulayman, in anak niya hi Rubuwam;in hi Rubuwam, in anak niya hi Abiyas;in hi Abiyas, in anak niya hi Asa;in hi Asa, in anak niya hi Jusapat;in hi Jusapat, in anak niya hi Jihuram;in hi Jihuram, in anak niya hi Usiyas;in hi Usiyas, in anak niya hi Jutam;in hi Jutam, in anak niya hi Ahas;in hi Ahas, in anak niya hi Hijikiyas;in hi Hijikiyas, in anak niya hi Manassi;in hi Manassi, in anak niya hi Amun;in hi Amun, in anak niya hi Jusiyas;in hi Jusiyas, in anak niya hi Jihuyakin iban sin manga taymanghud niya. 
Matiyu|1|12-16| Hāti dayn na waktu narā in manga tau Israil pa hulaꞌ Babilun sampay pa waktu piyagꞌanak hi Īsa, biyaꞌ ha ini isab in usulan sin pangkat niya.In hi Jihuyakin, in anak niya hi Salati;in hi Salati, in anak niya hi Sirubbabil;in hi Sirubbabil, in anak niya hi Abiyud;in hi Abiyud, in anak niya hi Iliyakim;in hi Iliyakim, in anak niya hi Asur;in hi Asur, in anak niya hi Saduk;in hi Saduk, in anak niya hi Akim;in hi Akim, in anak niya hi Iliud;in hi Iliud, in anak niya hi Iliyasar;in hi Iliyasar, in anak niya hi Mattan;in hi Mattan, in anak niya hi Yaꞌkub;in hi Yaꞌkub, in anak niya hi Yusup. Hi Yusup amuna in nakaasawa kan Mariyam inaꞌ hi Īsa, amu in pagꞌiyanun Almasi. 
Matiyu|1|17|Na, manjari awn hangpuꞌ tagꞌupat pangkat in nanubuꞌ tagnaan dayn kan Ibrahim sampay naabut mawn kan Daud. Hāti tagnaan dayn kan Daud sampay pa waktu narā in manga tau Israil pa hulaꞌ Babilun awn isab hangpuꞌ tagꞌupat pangkat in nanubuꞌ. Hāti awn isab hangpuꞌ tagꞌupat pangkat in nanubuꞌ dayn ha waktu narā in manga tau Israil pa hulaꞌ Babilun sampay naabut piyagꞌanak in Almasi. 
Matiyu|1|18|Biyaꞌ ha ini in kahālan sin pagꞌanak kan Īsa Almasi. In hi Mariyam, inaꞌ niya, saꞌbu nagtutunang iban hi Yusup, sagawaꞌ ha walaꞌ pa sila nakapagtiyaun kiyananaman niya sin burus siya dayn ha kusug sin kudarat sin Rū sin Tuhan. 
Matiyu|1|19|In hi Yusup ini hambuuk tau miyamagad sadja ha daakan sin Tuhan. Pagga niya kiyaingatan sin burus hi Mariyam napikil niya baybarun na in pagtunang nila, sagawaꞌ diꞌ niya hibukag in sabab sin pagbaybad nila, ha supaya diꞌ sumipug hi Mariyam. 
Matiyu|1|20|Sakali ha saꞌbu hi Yusup namimikil sin pasal ini, nakalipat siya sartaꞌ nanagainup siya. Ha lawm tagainup niya nagpanyataꞌ mawn kaniya in hambuuk malāikat naraak sin Tuhan. Namung in malāikat, amu agi, "Yusup, hambuuk panubuꞌ hi Daud, ayaw kaw mahanggaw umasawa kan Mariyam. Karnaꞌ in siya yan naburus dayn ha kusug sin kudarat sin Rū sin Tuhan. 
Matiyu|1|21|Umanak siya hambuuk bataꞌ-bataꞌ usug iban ngānan mu in bataꞌ-bataꞌ yan hi Īsa, sabab siya na yan in manglappas ha tau niya dayn ha manga dusa nila." (Amu yadtu in pamung kaniya sin malāikat.) 
Matiyu|1|22|Na, nabunnal in kiyabaytaꞌ sin Tuhan amu in kiyasulat nakauna hi Nabi Isayas ha lawm Kitab, amu agi, 
