Spanish,Frequency,Tagalog,Frequency,English,Frequency,Hiligaynon,Frequency,Bikol,Frequency,Waray,Frequency,Ilocano,Frequency,Cebuano,Frequency,Kapampangan,Frequency,Pangasinense,Frequency,Yakan,Frequency,Ivatan,Frequency,Tausug,Frequency,Yami,Frequency,Tuwali-Ifugao,Frequency,Masbateno,Frequency
_de,4718,ng_,18213,_th,9217,ng_,12175,an_,12555,an_,16498,ti_,12499,ng_,10801,ng_,23817,an_,8933,_si,8076,_ka,7259,in_,13658,_a_,7527,an_,12730,an_,13544
os_,4600,ang,13247,the,8063,_sa,11349,_sa,7951,nga,10256,iti,6331,ang,9083,ing,13745,ay_,6614,si_,6312,an_,6302,iya,9287,o_a,6830,_na,7046,_na,11483
que,3835,_sa,7993,he_,6304,ang,11098,_na,7769,_ng,9454,_ti,6138,sa_,8789,ang,7583,_na,4030,an_,5331,_na,6258,an_,9138,na_,6691,nan,5169,_sa,9647
ue_,3727,_na,7710,nd_,4186,ga_,9270,ng_,5878,_ha,8836,_a_,5341,_sa,8003,an_,6144,_to,3629,_pa,4217,_a_,6196,_ma,8999,_na,5891,ya_,4758,na_,7051
de_,3457,sa_,6930,_an,3820,sa_,7737,_ka,5582,ga_,8822,_it,3674,_ka,7032,_ka,5898,_si,3556,ang,4173,a_a,5643,_si,8587,an_,5807,_di,4701,_ka,6659
_y_,3420,_ka,6188,and,3718,_ka,7468,_ni,5249,_hi,6876,_ka,3662,ga_,6125,_na,4852,_ta,3408,in_,4135,_ma,5307,_in,8118,_am,5724,ana,4655,sa_,5252
_qu,3362,_an,4981,_to,3195,nga,6400,_an,5040,han,4932,_ma,3536,an_,5472,at_,4031,_sa,3292,_du,4032,no_,4910,ang,7940,_ka,5680,_ya,4511,_ma,5065
el_,2574,iya,4649,to_,2998,_na,6062,ang,4848,_an,4782,_ke,3511,nga,4684,_in,3948,en_,3203,_ma,4004,o_a,4790,_ka,7074,_ma,5186,_da,4245,_an,4704
los,2523,_si,4428,_yo,2423,_ng,5609,na_,4239,_ka,4574,agi,3450,_an,4287,g_m,3812,_ma,3183,iye,3709,na_,4734,sin,6051,ng_,5018,di_,3954,_si,4234
_en,2392,at_,4391,you,2423,_si,5143,_ma,4171,ha_,4314,_da,3437,iya,3971,_ma,3702,tan,3060,_ka,3299,do_,4406,_ni,6048,do_,4988,_hi,3880,san,4227
_el,2274,_ng,4326,d_t,2272,_ma,5040,_si,4120,_na,3959,ada,3322,_ma,3920,_ki,3583,d_s,2977,ne_,3262,_o_,4354,niy,5771,_do,4954,n_d,3865,_pa,3677
es_,2227,g_m,3948,_hi,2167,_an,4631,sa_,3806,iya,3950,an_,3228,_ng,3690,kin,3512,_a_,2835,iya,3065,a_n,4330,_na,5330,_ta,4640,_ka,3770,iya,3664
_lo,2197,_ma,3889,ed_,2118,a_s,4601,iya,3582,a_h,3841,git,3210,_na,3495,a_k,3204,ed_,2818,_me,3039,_do,4262,_ha,4890,so_,4537,ang,3654,a_n,3642
_di,2147,ay_,3857,_he,2118,nag,4498,nin,3558,gan,3726,nga,3184,_si,3430,ung,3203,_ed,2810,me_,3028,aya,3975,ya_,4852,no_,4290,ay_,3570,a_s,3631
_a_,2133,_at,3801,_of,2073,san,4461,in_,3413,_ma,3482,dag,3143,on_,3414,_at,3201,nen,2728,hin,2991,_si,3938,nga,4746,ang,4039,ada,3375,ya_,3544
_la,2088,ga_,3649,ing,2068,an_,3957,n_s,3266,n_n,3403,ana,2968,a_m,3404,na_,3074,ray,2681,uk_,2977,_no,3859,_pa,4530,am_,4032,_an,3030,ga_,3321
as_,2073,na_,3338,of_,2002,ag_,3814,n_n,3194,on_,3340,ang,2888,ug_,3295,ala,3017,ara,2623,ain,2759,a_d,3787,man,4382,_o_,3984,on_,3009,on_,3040
_es,2069,ina,3308,is_,1927,on_,3662,ga_,2991,hin,3295,a_a,2817,_ug,3279,g_a,2863,_ka,2595,duk,2606,a_s,3778,n_m,4344,_ni,3980,_ma,3002,n_n,2834
",_y",2031,",_a",3250,e_t,1845,mga,3546,n_m,2955,_pa,3294,na_,2741,a_s,3091,ana,2706,na_,2451,ye_,2602,o_k,3695,ng_,4160,a_n,3955,_ta,2873,nag,2816
do_,2019,ala,3161,en_,1742,_mg,3545,a_s,2907,a_n,3112,_na,2735,a_k,3058,_la,2638,ang,2356,"n,_",2568,_ni,3509,"a,_",4096,ana,3937,dan,2647,a_m,2766
"s,_",1973,a_k,3131,ll_,1736,la_,3449,ind,2877,mga,3109,_ng,2596,g_m,3000,_ya,2564,man,2185,_iy,2554,_da,3437,_hi,4092,_no,3664,ah_,2603,mga,2763
s_d,1908,ani,3121,_wi,1732,a_i,3424,sin,2867,_mg,3108,ni_,2437,_pa,2990,nan,2558,ika,2125,nin,2407,_di,3297,ha_,3892,o_n,3576,un_,2552,_mg,2753
_co,1803,kan,3119,_wh,1723,ala,3416,ina,2711,ya_,3083,_ni,2416,kan,2965,_pa,2365,_la,2011,han,2403,_as,3185,ga_,3746,_so,3346,hi_,2350,_ni,2711
_Y_,1783,ila,3030,at_,1719,a_m,3313,nag,2703,in_,2965,ga_,2278,_ni,2812,g_k,2333,n_a,1964,ina,2343,ya_,3055,a_s,3405,o_t,3168,n_n,2097,ag_,2698
ndo,1738,_mg,2984,e_w,1715,_pa,3121,a_n,2697,n_m,2808,_pa,2255,mga,2754,la_,2325,et_,1891,n._,2325,_am,3011,a_i,3350,_si,3158,_mu,2023,n_m,2643
