Book|Chapter #|Verse #|Verse
Mateo|1|1|Amo ini an pagkasunodsunod han mga kaapoy-apoyan ni Jesu-Cristo nga tulin ni David, nga tulin ni Abraham. 
Mateo|1|2-6|aTikang kan Abraham ngadto kan Hadi David, amo ini an mga kaapoy-apoyan: Abraham, Isaac, Jacob, Juda, ngan an iya kabugtoan; Fares ug Sara (an iroy nira amo hi Tamar), Esrom, Aram, Aminadab, Naason, Salmon, Boos (an iroy niya amo hi Rahab), Obed (an iroy niya amo hi Rut), Isai, ngan hi Hadi David. 
Mateo|1|6b-11| Tikang kan David ngadto han panahon han pagbalhina nga mga bihag han mga tawo han Israel ngadto ha Babilonia, amo ini an mga kaapoy-apoyan: David, Solomon (an iroy niya amo an asawa anay ni Urias), Roboam, Abias, Asa, Josafat, Joram, Usias, Jotam, Acas, Ezequias, Manases, Amon, Josias, ngan hi Jeconias ngan an iya kabugtoan. 
Mateo|1|12-16| Tikang han panahon kahuman han kabalhin nira nga mga bihag ha Babilonia ngadto han katawo ni Jesus, amo ini an mga kaapoy-apoyan: Salatiel, Sorobabel, Abiud, Eliaquim, Asor, Sadoc, Aquim, Eliud, Eleasar, Matan, Jacob, ngan Jose nga nangasawa kan Maria, an iroy ni Jesus nga ginngaranan nga Mesiyas. 
Mateo|1|17|Sanglit, may-ada katorse ngatanan nga katulinan tikang kan Abraham ngadto kan David, katorse man nga katulinan tikang kan David ngadto han kabalhin nira nga mga bihag ha Babilonia, ngan katorse liwat nga katulinan tikang han kabalhin nira nga mga bihag ha Babilonia ngadto han katawo han Mesiyas. 
Mateo|1|18|Sugad hini an katawo ni Jesu-Cristo. Han karaslon pa la hi Maria nga iroy niya ngan hi Jose, nahibaroan ni Maria nga burod na hiya ha larang han Espiritu Santo. 
Mateo|1|19|Diri karuyag magpakaalo kan Maria hi Jose kay matadong hiya nga tawo. Sanglit, nakahunahuna hiya hin pagbaya kan Maria hin hilom la. 
Mateo|1|20|Kundi samtang ginhunahuna niya ini, pinmakita ha iya in usa nga anghel han Ginoo pinaagi hin inop, ngan nagsiring, "Jose, tulin ni David, ayaw pag-alang hin pagkarawat kan Maria nga imo asawa kay nagburod hiya ha larang han Espiritu Santo. 
Mateo|1|21|Mag-aanak hiya hin lalake, ngan pagngangaranan mo hiya nga Jesus, kay magtatalwas hiya han iya katawhan tikang han ira mga sala." 
Mateo|1|22|Nahinabo ini ngatanan basi matuman an iginyakan han Ginoo pinaagi han manaragna nga nasiring, 
Mateo|1|23|"Magbuburod in usa nga uray nga daraga ngan mag-aanak hin lalake, ngan tatawgon hiya nga Emmanuel" (nga karuyag sidngon, "An Dyos aanhi upod ha aton"). 
Mateo|1|24|Sanglit, han pagmata ni Jose, gintuman niya an iginsugo ha iya han anghel han Ginoo, ngan pinangasawa niya hi Maria. 
Mateo|1|25|Kundi hi Jose waray makighilawas kan Maria tubtob nga nag-anak hi Maria. Ngan Jesus an iginngaran ni Jose han bata.
Mateo|2|1|Natawo hi Jesus ha bungto han Betlehem, ha tuna han Judea, han panahon nga hi Herodes an hadi. Waray pag-iha, nagkaabot ha Jerusalem, tikang ha sinirangan, in mga tawo nga batid hin kamaaram bahin han kabitun-an, 
Mateo|2|2|ngan nagpakiana hira, "Hain ba an natawo nga bata nga hadi han mga Judiyo? Hinkit-an namon ha sinirangan an iya bituon, ngan kinmanhi kami hin pagsingba ha iya." 
Mateo|2|3|Han pakabati hini ni Hadi Herodes, nabaraka hiya pati an bug-os nga Jerusalem. 
Mateo|2|4|Gintirok niya an ngatanan nga mga puno han kapadian ngan mga magturutdo han Balaod, ngan ginpakianhan hira, "Diin ba matatawo an Mesiyas?" 
Mateo|2|5|"Didto ha bungto han Betlehem, ha Judea," nagbaton hira. "Amo ini an iginsurat han manaragna: 6'Ikaw Betlehem, ha tuna han Juda,diri ka gud amo an giuubosi han mga bungto han Juda;kay magawas tikang ha imo in usa nga pangulonga magpapakaupay han akon katawhan nga Israel.'" 
Mateo|2|7|Sanglit, iginpatawag ni Herodes hin hilom an mga kamag-araman nga tikang ha sinirangan. Hinbaroan niya tikang ha ira an untop nga takna han pagpakita han bitoon. 
Mateo|2|8|Ngan ginpakadto hira ha Betlehem ngan gintugon hira: "Pakadto kamo, ngan pamilnga niyo hin maupay an bata. Kon hiagian niyo, pahibaroa ako dayon, basi kumadto man ako hin pagsingba ha iya." 
