Book|Chapter #|Verse #|Verse
Matay|1|1|O yamalavat rana ngarangaran do jya am ineynapo na ni Yeso Kizisto a sivovoong na ni Tawey. Si Tawey am sivovoong na ni Apolahan. 
Matay|1|2|O anak na ni Apolahan am si Isa. O anak na ni Isa am si Yakebo. O anak na ni Yakebo am si Yoda kano kakakteh na. 
Matay|1|3|O anak na ni Yoda kani Tama am si Veyletse a kani Syala. O anak na ni Veyletse am si Heselon. O anak na ni Heselon am si Yalan. 
Matay|1|4|O anak na ni Yalan am si Aminata. O anak na ni Aminata am si Nason. O anak na ni Nason am si Saarmen. 
Matay|1|5|O anak na ni Saarmen a kani Laha am si Poatse. O anak na ni Poatse a kani Lote am si Opeyte. O anak na ni Opeyte am si Yesi. 
Matay|1|6|O anak na ni Yesi am si Tawey.O anak na ni Tawey am si Solomen. O ina na am mina mavakes na ni Odiya. 
Matay|1|7|O anak na ni Solomen am si Lopoan. O anak na ni Lopoan am si Apiya. O anak na ni Apiya am si Yasa. 
Matay|1|8|O anak na ni Yasa am si Yesava. O anak na ni Yesava am si Yelan. O anak na ni Yelan am si Ociya. 
Matay|1|9|O anak na ni Ociya am si Yetan. O anak na ni Yetan am si Ahatse. O anak na ni Ahatse am si Sisicya. 
Matay|1|10|O anak na ni Sisicya am si Manase. O anak na ni Manase am si Amen. O anak na ni Amen am si Yeseya. 
Matay|1|11|No karakep da so Isedi a tao a yangay do Papilon am meytaodtod si Yeseya. O anak na am si Yoyacin a kano kakakteh na. 
Matay|1|12|Yangay da sira do Papilon am meytaodtod si Yekeniya. O anak na am si Salati. O anak na ni Salati am si Solopapey. 
Matay|1|13|O anak na ni Solopapey am si Apio. O anak na ni Apio am si Idiacing. O anak na ni Idiacing am si Aso. 
Matay|1|14|O anak na ni Aso am si Sato. O anak na ni Sato am si Asin. O anak na ni Asin am si Idio. 
Matay|1|15|O anak na ni Idio am si Idiasa. O anak na ni Idiasa am si Matan. O anak na ni Matan am si Yakebo. 
Matay|1|16|O anak na ni Yakebo am si Yoseyvo a kahanghangan ni Madiya. O meyngaran si Yeso am anak na ni Madiya. Si Yeso am Misayya. 
Matay|1|17|No ko vilangan am no yapwen ji Apolahan a kangay na ji Tawey am apat o ikarwa na 14 no katatapilan da rana. No yapwen ji Tawey a kangay na do nirakpan da so Isedi a yangay do Papilon am akman sang a apat so ikarwa 14 so katatapilan sira. No vilangan o niyan da no Isedi a tao do Papilon a kangay na do cinatazak na no Misayya am akman sang, ta apat so ikarwa 14 o katatapilan da. 
Matay|1|18|Kasasaodan ni Yeso Kizisto no katazak na. Si Madiya a ina na a nitamtamkan ni Yoseyvo am ji pa nizomagpit do vahay da am katenngan na rana ni Madiya o kapangalavat na so metdeh, do kowyat na jya no Seyzi na ni Ama ta do to. 
Matay|1|19|O mangay na seksekan a tao a meyngaran so Yoseyvo am tey yapya o ahahapan na so vazay na do icyatatao na. Am ori o naknakman na sya do onowned na so kato na rana ngaolyan so tamtamek da. Ta ji nakzan o kapeyrengerengay da jya no tao a katenngan. 
Matay|1|20|Naknakmen na o akman sang a vazay am mangay na patateynepan no tinsi ni Ama ta do to. Maniring am, "Mo Yoseyvo a sivovoong ni Tawey, ji ka nyahey. Ta ahapen mo si Madiya kataned mo do vahay. Ta o na alavaten am yapo do Seyzi na ni Ama ta do to. 
Matay|1|21|Si Madiya am mangahanas so mahakay. No si malikey am ingaran mo jya si Yeso, ta iya o mapatastas so omraralay nya tao do peyraratenan da." 
Matay|1|22|O aro a vazay eya am todey mangononong do mina ciring no panoyonoywan na so ciring ni Ama ta do to. Ta o mina ciring na am, 
Matay|1|23|"Amyan so ji meylimoteng so onowned a mavakes a mangalavat so mahakay. O ngaran na am Imaneydi." O peypeypangayan na am, "Macilovot jyaten si Ama ta do to." 
Matay|1|24|Mayokay si Yoseyvo am to na mangozai o mina ciring na jya no tinsi na ni Ama ta do to a mapasakay si Madiya. 
Matay|1|25|Am no kaji na pa tazakan no kanakan a mahakay am ji pa nimacitovong si Yoseyvo ji Madiya. Matazak rana a tao o kanakan am ngaranan na ni Yoseyvo a si Yeso.
Matay|2|1|No kapeypanirsirngen da pa si Helote am matazak a tao si Yeso do Podiheng a ili do Yotay. O manitanita rana so mata no hanit a nimapo do teyhesa ka ili am mangay sira do Yelosaleng. 
Matay|2|2|Maniring sira am, "Wanjin jya o nimatazak a tao a panirsirngen no tao do Yotay. Ta namen nimacita o mata no hanit do daddan no araw a yongkad no kanimatazak na rana. Ori o namen nyai a yaomraralay nya." 
Matay|2|3|Mamizing na no panirsirngen a meyngaran si Helote am marahet o onowned na. Akman sang sira o tao do Yelosaleng a mamogaw. 
Matay|2|4|Makarahan am lovoten na ni Helote o panipanirsirngen no mapatanatanang so nakem da si Ama ta do to a kano mangnanao no iwawalam na ni Ama ta do to. Maniring jira am, "Do wanjin o na katazakan no Misayya a ipanci da no panoyonoywan na so ciring ni Ama ta do to no kakwa." 
Matay|2|5|Maniring sira am, "Do Podiheng a ili do Yotay. Ta o yadomket a ciriciring da no panoyonoywan na so ciring ni Ama ta do to am,
Matay|2|6|'Inyo rana tao a meyvahay do Podiheng a macinapnap do Yotay am tana ney likey na o ili nyo am ney manhama kamo a tao. Ta amyan jinyo so asa ka tao a makayokod ninyo a Isedi a tao.' " 
Matay|2|7|Makarahan am lovoten na ni Helote a panirsirngen o manitanita so mata no hanit a tao a kapanahes na nya jira so araraw na no nipeytotwaw no mata no hanit ang. 
Matay|2|8|Makarahan am ipanci na sira mangay do Podiheng. Maniring jira am, "Pakapyahen nyo pala kalahen o kanakan ang. Si makala nyo am ipanci nyo jyaken, ta mangay ko a iraralay." 
Matay|2|9|Mamizing da o ciring na am mangay rana sira. Makarahan am to da cita pa tomwaw o mata no hanit a nimacita da do daddan no araw a meypalanginan nira to meynonozey a mangay a someyked do nikatazakan a tao no kanakan ang. 
Matay|2|10|So nisaray da makacita so mata no hanit ang. 
Matay|2|11|Somdep sira do vahay am macita da o kanakan a kano ina na si Madiya. Am ori o nilogod da amraralay no kanakan ang. Makarahan am babahen da rana o nipalolo da ovay a kano mahangno a haneng a kano makdeng a kosozi a yazaw da sya. 
Matay|2|12|Meysinaoli sira o manitanita so mata no hanit a tao am patareken na o rarahan da ni Ama ta do to, do kanimapatateynep na jira a jyangay ji Helote a panirsirngen. 
Matay|2|13|Mangay rana sira am patateynepan na si Yoseyvo no tinsi ni Ama ta do to. Maniring jya am, "Peyvangon rana kangay mo nira meyina a somazok do Ayci, kato nyo ngyanan dang a meyvahay mangay no ipanci ko na inyo a komaro do dang. Ta si Helote am na kalahen o kanakan a yawakwaken." 
Matay|2|14|Am ori o nyangayan na ni Yoseyvo nira meyina do Ayci a meyvahay do dang, 
